,내용,별점,재구매,한달사용기,종류,년,월,일
0,칫솔은. 역시. 치과칫솔이죠~~ ㅎㅎㅎ 마트에서 다른거 사서 써봐도. 역시. 이것만한게 없는거 같아요~ 모질도 부드럽고 헤드도 알맞게 작아서 어금니까지 깔끔하게 잘 닦이구요~ 전에는 프리미엄 이중미세모만 12개셋트 구입해 썼었는데. 요즘 잇몸이 약해진 거 같아서 이번엔 6개씩 미세모랑 이중모를 섞어서 구입해봤어요~ 이중모는 써왔던 거라고 미세모 먼저 꺼내서 써봤는데요~ 힘없을 줄 알았는데 생각보다 탱탱한 모질이 더 맘에 드네요~~ 담에는 미세모셋트로만 구성해서 구입해야 겠어요~~ ㅎㅎ 참. 치실은 항상. 이제품이 젤 좋아서 칫솔살때마다 두세개씩 사놓네요~~ ㅎㅎ,5,0,0,7,2019,11,29
1,이제 교정한지 한달 ㅠㅠ 양치를 평소보다 많이하게되고 가격도 마트에선 비싸서 가격 저렴한걸로 주문했는데 치과에서 주는거보다 더 좋으네요 캡도 하나하나 포장되어있어서 좋아요 다 쓰면.요기서 계속 주문할래요,5,0,0,1,2019,12,5
2,교정 중이여서 이 칫솔만 구매해서 사용하고 있는데 두번 사용했는데 바로 이렇게 퍼지네요... 저번에 산거 몇개도 그러던데...ㅠㅠ 그래서 다시 새거 사용하고있습니다.,3,1,0,3,2019,12,7
3,애터미 칫솔오래사용하다 사용기간이 넘 짧은거같아 마트에서 이런저런 칫솔 갈아타다 리뷰가 좋아 이칫솔 구매해봅니다..치과용 미세모라는데 그닥 부드럽지는 않ㅇ아요..그냥그냥 칫솔이구나하고 쓸만하네요 신랑은 잇몸아푸다고 다른거 바꿔달라해서 다시 애터미로 구매!! 그냥 저 혼자 써야겠어요.. 칫솔커버는 좋기는하나 좀 낭비같네요..싸이즈가 작아 다른 칫솔에는 안맞고 그냥 ㅁ몋개만 들어있어도 될듯한데... 결론은 그냥그냥 쓸만하다~!!!정도,3,0,0,2,2019,12,7
4,솔직히 별 1개도 아까워요 일부러 프리미엄으로 산건데 칫솔 부드럽지도 않고 겁나 딱딱해서 너무 불편하고 깨끗하게 닦이는느낌이 하나도 없어서 쓰던칫솔 바꾸려고 한건데 도로 그 칫솔 사용중입니다 다른 칫솔 재구매하려구요! 개인차이겠지만 다신 안사요 절대로!!!!,1,0,0,2,2019,12,9
5,칫솔 구매할려고 찾다가 예전부터 쓰던 슬림모랑 이중슬림모를 판매하길래 왔다가 고급형이 있길래 요걸로 구매했어요~~~아직 사용 전이라 일반용과 뭐가 다른지는 잘 모르겠지만 기대 중입니다. 많이 판매하시고요 빠른 배송 좋았어요~~~,4,0,0,7,2019,12,13
6,늘 쓰는 제품이에요. 잇몸이 좀 안 좋은 편이라 슬림모 쓰는데요 좋습니다 여러 번 사서 쓰면서도 상자에 점선이 있는걸 오늘 발견했네요 ㅋ,5,1,0,1,2019,12,13
7,슬림모랑 이중 반반씩 시켰는데 이중슬림모만 사용중입니다  칫솔 크기가 작아서 치약도 더 적게 짜게되고 구석구석 닦을수있어서좋구요 깔끔하게 세정이 잘되는느낌입니다 잇몸 따갑거나 그런것도없어요 아주좋습니다,5,0,0,7,2019,12,17
8,계속쓰다가 다른칫솔바뀌볼려고 사서썼는데 이것만못하더라구여. 부드럽기만하지잘닦이지안아서..후회하고다시이걸로 바꿔주문했어여..확실히좋아여,5,0,0,1,2019,12,20
9,치과칫솔이라고 되어있는데 저렴해서 샀어요. 생각보다 모가 약하네요. 쓴지 일주일 좀 안됐는데 벌써 벌어지네요ㅠㅠ,2,0,0,4,2019,12,24
10,가격도 저렴하고 치과용 칫솔이라 구매했어요 사용하기 좋네요,4,0,0,2,2019,12,24
11,배송도 빠르고요 사용해보니 실제로도 부드러워요 칫솔마다 휴대용캡이 달려있어서 좋아요,5,0,0,1,2019,12,25
12,제품을 사용해 보았는데 품질은 아주 좋아요 잇몸이 부담스럽지도 않고요 이 정도면 계속 사용해도 좋을것 같습니다^^,5,0,0,1,2019,12,25
13,배송도빠르고다양한색상으로잘챙겨주셨어요ㅎㅎ 아직써보진않았지만치과용칫솔이써보니 일반판매칫솔보단훨나은것같아요~,5,0,0,1,2019,12,26
14,늘 쓰던걸로 주문했어요 늘 좋아요~,5,0,0,1,2019,12,27
15,우연한 기회에 이 칫솔을 알게되었는데 너무 좋습니다. 부드러우며 탄력이 있는데다가 헤드가 작아 이 안쪽도 고루 닦여서 이 칫솔만 사용하게되네요. 자주 교체해 주는 편인데 다른 칫솔보다는 교체주기가 그리 빠르지는 않아서 가격대비 경제적이기까지...감사합니다.,5,1,0,2,2019,12,27
16,늘 쟁여놓고 쓰는 상품입니다. 부드럽고 시원시원하게 닦여서 이것만 씁니다. 가끔 손님용으로도 사용하는데 쓰시는 분이 좋아서 꼭 가져가시네요.  치실 서비스까지...감사합니다^^그래서 코코세일 여기서만 주문합니다.,5,0,0,0,2019,12,27
17,아이들 교정기달며 구입했어요. 치과에서 똑같은거를 하나에 삼천원씩 구입했는데 진작에 인터넿으로 살걸 후회되요. 제품 좋아요. 배송도 빠르고,5,0,0,3,2019,12,28
18,치과에서 구입하니 개당 3000원이여서 구입하려던중 가장 리뷰많은곳에서 구입했어요.,5,0,0,3,2019,12,28
19,써보고 맘에 들어서 또 주문했습니다. 남편은 1번 저는 2번~ 잇몸이 약해서 시중에 있는 칫솔을 쓰면 항상 피가배어나왔었는데 이 칫솔 쓰고는 안그래요 강추~,5,0,0,1,2019,12,29
20,잇몸약한 저는 1번 남편은 2번으로 쓰고잇어요 아주만족입니다  오른쪽이 1번이예요 아주큰 차이는 없습니다 ㅎ,5,0,0,2,2019,12,29
21,칫솔모도 작고 부드럽고 가격도 착하고 좋아요 네가지 색상으로 네 식구 치솔 교환완료 했습니다,5,0,0,1,2019,12,30
