,내용,날짜,별점,재구매,한달사용기,종류
0,교정칫솔 진짜좋네요!  양치질도 잘되고 부드럽고 탄력도 좋아요! 가성비 굳굳~~!!!!  함께 구매한  어금니칫솔도 대만족입니다. 교정기사이사이 양치질할때 너뭉 좋아요 깔끔하고 시원한 느낌이네요 포장도 이쁘공 자주 살거예요   지인추천갑니다. 많이파세요 ~,2020-10-08,5,0,0,4
1,치과에서 교정칫솔을 3천원씩에 그매해사 쓰다가 대용량으로 구매하니 너무 젛네요 실속형 패키지도 잘 포장되어 있고 휴대하기 좋게 개별캡도 되어 있어 위생적이네요 V자형 홈도 잘 파져 있고 조금 강한 듯한 느낌은 있지만 잘 닦이고 좋아요 교정 초기에는 부드러운 모를 쓰는게 좋을듯하구요,2020-10-08,5,0,1,3
2,"사무실에서 사용하려고 교정 칫솔 한통 주문했습니다. 배송도 빠르고 아웃터박스도 이쁜네요 실속팩 주문했는데 가성비 진짜 좋네요 치과에서 구매한것보다 더 좋은것 같아요 V커팅 슬림모를 구매했는데 양치질도 잘되고 부드러워서 좋은것 같아요^^ 일반모 살까  슬림모 살까  고민했는데 친절하게 톡톡으로 상담도 해주셔서 좋은 제품 구매한것 같아요 같이 구매한 어금니 칫솔 치간칫솔도 진짜 좋아서 매일 매일 사용하고있어요^^ 남편주려고 일반모(강한모) 구매했는데, 남편도 좋다고하네요 빡빡 딱는 스타일이라..양치하고나면 엄청 개운 하다고합니다. 자주 구매할께요^& 적극 추천할께요~~",2020-10-11,5,0,0,1
3,교정 칫솔을 둘다 구입했는데 크게 추천하고 싶지는 않습니다 ㅠㅠ 병원에서 구입하는 것보다 좋은 칫솔을 쓰고싶어서 검색해서 구매평등을 보고 구입한건데 교정용 칫솔은 그저그래요. 일반모는 뻣뻣하고 두껍고 슬림모는 일반 칫솔 굵기인데 세정력은 슬림모가 낫습니다. 일반모는 오히려 뻣뻣하고 두꺼워서 교정기 사이사이가 잘 안닦여요. 교정하시는 분들은 어차피 꼼꼼히 닦으시니 슬림모가 낫구요 무엇보다 실망한건 모가 균일하지 않습니다. 일반모는 모 한두개가 튀어나와있는데 두꺼워서 교정기에 자꾸걸려서 손질해야하고 슬림모는 모가 빠지면서 교정기 사이에 낍니다 ㅠ 교정중에는 칫솔도 치약도 민감하게 느껴지고 잘 사용해야하는 만큼 기대도 컷는데 ㅠㅠ 사실 재구매는 안할거고 구매한 칫솔도 하나 사용 후 사용하고 싶지는 않아서 곤란하네요 ㅠㅠ,2020-10-12,2,0,1,6
4,"중학생 교정5개월차, 칫솔이 보철때문인지 한달도 못쓰고 엉망되길래 저렴한걸로 여러개사서 자주 교체해주려고 사봤어요. 아이는 모가 아주 부드럽진 않다고 하네요. 그래도 쓸만해요~~",2020-10-21,5,0,0,1
5,"아이 교정용 칫솔로 구매했어요. 아이한테 일반모, 슬림모 중 뭐가 맞을지 몰라서 두 가지 구매했는데.. 일반모가 병원에서 구입한 칫솔모와 비슷한 것 같아요. 일반모로 잘 사용 중입니다.",2020-10-22,5,0,0,6
6,이게 최고예요. 요즘 이만모? 그거 핫하길래 주문했는데 청소용으로나 쓰려구요. 잇몸 약하면서 너무 미세모보단 구석구석 개운하게 양치하고 싶은 분께 강추합니당. 그리고 잇몸 약하신분일수록 치간칫솔 꼭 쓰세요! 저 치과만 가면 피보는 유리잇몸인데 치간칫솔 쓰고나니 많이 강해졌어요!!!,2020-10-23,5,0,0,2
7,교정치료중인 자녀용으로 구매했네요. 교정치과에서 받은것보다는 좁은 편이긴하나 V컷이라 기능은 비슷하겠죠.,2020-10-23,5,0,0,3
8,매번 주문해서 사용하고 있어요 미세머 부드러워서 잇몸에 상처도 안주고 피도 덜나고 치석제거에도 힘을 줘도 잘닦이고 또 혀클리너로 사용해도 매우 만족합니다 ㅋㅋ,2020-10-27,5,0,0,2
9,"계속 쓰고 있긴한데, 칫솔질 잘못해서 잇몸에 다으면 좀 아프네여. 교정하고 있어서 칫솔이 1주일을 못 간답니다. 그래도 다른 칫솔보다는 세정력이 좋은 것 같습니다.",2020-10-28,3,1,1,3
10,이중미세모를 샀어야 했는데 잘못 구매했어요 ㅜ 이중미세모로 재주문할께요~ 그래도 상품은 저렴하고 깔끔하게 와서 좋아요!,2020-10-29,3,0,0,3
11,교정중인 아이가 사용중인데 괜찮다고하네요 칫솔모도 너무 뻗뻗하지않고 너무 부드럽지도않고 적당한거같아요,2020-10-31,5,0,0,3
12,치석제거땜에 단단한 칫솔모가 필요해서 구입했어요.  칫솔모 빡빡하고 단단하긴 하네요,2020-11-01,3,0,0,3
13,배달도 빠르고 상품도 괜찮은 거 같아요. 개당 천원 정도 금액이라 딱 그 가격인것 같네요~,2020-11-02,5,0,0,3
14,이전에 쓰던것이 있어서 구매한지 좀 지난 후에 첫 사용을 해보았습니다. 그런데 12개중 1개를 랜덤으로 썼는데 칫솔모의 길이가 엉망이었습니다. 처음의 칫솔부터 엉망인지라 나머지 칫솔의 상태에 긍정적인 생각이 안드네요,2020-11-02,1,0,0,3
15,교정하는 아들이 v칫솔 떨어졌다며 사달라고 몇번 이야기했는데 이제서야 구매했어요 깔끔하게 씻기고 좋다고합니다,2020-11-03,5,0,0,1
16,좀 많이 뻣뻣하지만 잘 닦이는 것 같어요. 무엇보다 저렴해서 좋아요.,2020-11-03,5,0,0,3
17,교정 후 일반칫솔로 양치해도 문제는 없지만 교정용 칫솔을 사용하면 충치예방에 더 도움이 되지 않을까싶어 구입했어요~,2020-11-03,5,0,1,1
18,배송도 빠르고  가격도 만족해요^-^ 또 이용하겠숩니당,2020-11-04,5,0,0,1
19,교정하는 아이가 사용하려고 구입. 그 동안 치과에서만 구입했는데 계속 구매할 품질이였으면 좋겠어요. 알록달록 예쁜 컬러~^^,2020-11-04,4,0,0,3
20,치과에서 받은 교정 칫솔이랑 비슷했어요. 칫솔모가 생각보다는 부드러워서 좋았어요!,2020-11-04,5,0,0,3
21,이번에는 아이들 제품도 구매했어요~ 아직 사용하던 칫솔이 있어서 사용해보지못해서.. 사용한 후 한달후기로 올께요:-),2020-11-04,5,0,0,1
22,캡이 하나씩 되있어 사용하기에 더욱 좋으네요. 미세모라  깨끗히 잘닦이구요.뻣뻣하지 않고 부드럽네요.가격도 만족스럽네요~^^,2020-11-05,5,0,0,1
23,조르단쓰고있었는데 어른꺼시키는김에 한번 시켜봤어요~조르단의 탄탄한 느낌을 좋아하는데 여기껀 미세모면서도 탄탄하게 닦이는 느낌이 좋아요~이제 이걸로 갈아탈듯합니다ㅎㅎ,2020-11-06,5,0,0,1
24,손잡이도 아이들 잡기 편하고 모양도 귀여워요 이중모 잘닦이고 칫솔모가 작은편이라 아이들 좋아요 좀 크면 작을것 같아요,2020-11-06,4,0,1,2
25,칫솔모 종류가 다양해서 고민했는데 적당히 힘있으면서 잘닦이는것같아요 쟁여두니 마음 편안ㅎ,2020-11-06,4,0,1,2
26,미세모지만 탄력있어서 넘 좋구요 개운한 느낌이 들어요~여기꺼 항상 쓰고있어요^^,2020-11-06,5,0,0,2
27,모가 일정하지않아요. 그럭저럭 가성비 대비 쓸만한 제품인듯 써보고 갠창음 재주문할게요,2020-11-07,4,0,0,1
28,좋은 물건 싸게 팔아주셔서 감사합니다  여기 칫솔 치간칫솔 쓰다가 다른데꺼 못 쓰겠더라구요 확실히 치과 들어가는게 다르긴한가봐요  낱개로뚜껑이 되어 있어서 편리해요,2020-11-07,5,1,0,5
29,치과에서 구매하는것보다 저렴하네요. 잘쓰겠습니다.,2020-11-07,5,0,0,6
30,교정 시작해서 다량으로 샀습니다 생각보다 색깔이 이쁘네여ㅎㅎ 이 칫솔로 열심히 양치하겠습니다,2020-11-07,5,0,0,1
31,오자마자 몇개빼서 쓰고 엄마도 한통 드렸어요. 치석이 잘 안생기고 이가 잘 닦여요,2020-11-07,5,0,0,3
32,교정용칫솔 치과에서 개당 3천원인데 저렴하게 사게되서 좋아요,2020-11-07,5,0,0,3
33,항상 쓰던거라 또 시켰어요. 이번에는 상자가 조금 깨져서 왔네요. 물건에 이상은 없지만 기분은 조금 그래요. 그래도 좋은 칫솔 저렴하게 판매해 주시니 잘 쓸게요.,2020-11-07,4,1,0,3
34,일단 칫솔모가 부드러운 편은 아니고 강한편이라 교정인인 저는 구석구석 치석이 잘닦여요! 저는 이부분에선 정말 만족스럽지만 칫솔모가 빠져 교정기에 걸리네요ㅠㅠ 이부분에서 별 두개 뺍니다 그리고 강한모 싫어하시면 별로이싫거에용,2020-11-08,3,0,0,3
35,배송도 빠르고 칫솔모도 내가 원하는 탄력있는 미세모네요.조금 아쉬운건 칫솔모가 좀 긴편인거 같습니다.만족합니다.,2020-11-08,4,0,0,2
36,저번에 샀었는데 괜찮아서 또 구매하네요! 대용량이라 한번 사놓으면 신경안써도 돼서 너무 좋아요!,2020-11-08,5,1,0,1
37,배송 잘 받았습니다. 항상 쓰던거라 ㅎㅎ 전 좋아요 아이도 잘 사용하구요,2020-11-08,4,0,0,2
38,교정하고 있는 아들이 사용 중입니다. 재구매했고 잘 사용하겠습니다.,2020-11-09,5,1,0,3
