,내용,날짜,별점,재구매,한달사용기,종류
0,"재구매한 달만 쓰고 새것으로 바꿔야지..했는데 벌써 삼개월이나 지나버렸네요. 닳아 없어지려고하네요. ㅋㅋ 만족해서 쭉 사용하려고 재구매했습니다.
 작은 헤드가 입 안 구석구석 들어가고, 큰 칫솔보다 어쩔 수 없이 꼼꼼하게 닦게 됩니다. 아주 부드러워요.",22.04.26.,5,재구매,0,선택: D_어금니칫솔 / 종류: D-4 컴팩트 라운드 스파이럴모 / 수량: 12개 개별 박스포장
1,재구매벌써 2년가까이 여기 제품만 사용하네요 아이교정도 끝나가고요 첨에는 모르고 치과 개당3000원짜리 사용하다가 여기제품알고 계속 요기서만 구입합니다 택비도 없고 품질도 치과랑 비스므리해서 좋아요  요번 주문이 마지막같긴한데 어쨋든 저렴하게 잘 사용했습니다,22.04.13.,4,재구매,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
2,"미세모라 부드럽게 양치할 수 있고
색깔이나 디자인도 예뻐서 좋습니다!

잘 쓰겠습니다!",22.05.06.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3,"딸아이 교정중이라 치과에서 준 칫솔을 다 써서 처음 구매합니다. 
어금니 칫솔도 함께 구매했는데 케이스가 찌그러져서 와서 ?? 한개 뺐어요. 
사용해봐야알겠지만 싸게 잘 산것 같아요",22.05.04.,4,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 6개 실속패키지
4,한달사용기가족들이랑 같이 쓰려고 샀는데 저만 쓰고 있어요..ㅎ 사랑니 양치하기가 너무 힘들었는데 작고 굽어있어서 구석구석 닦기에 좋아요. 심지가 너무 단단하거나 무르지 않고 적당히 힘이 있어서 어금니쪽 양치하기에 좋아요,22.05.09.,4,0,한달사용기,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 6개 실속패키지
5,한달사용기SNS에서 추천글 보고 산 것 중에 제일 마음에 듭니다. 처음엔 어떻게 닦아야하는지 요령이 없어서 큰 칫솔로 한 번 닦고 -> 신경 쓰이는 부분만 어금니 칫솔로 닦곤 했는데 지금은 전체적으로 다 어금니 칫솔 쓰고 있어요. 양치 시간이 좀 길어지긴 했지만 그래도 다 하고 나면 기분 상쾌하고 좋아요.,22.05.02.,5,0,한달사용기,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 6개 실속패키지
6,한달사용기SNS에서 추천글 보고 산 것 중에 제일 마음에 듭니다. 처음엔 어떻게 닦아야하는지 요령이 없어서 큰 칫솔로 한 번 닦고 -> 신경 쓰이는 부분만 어금니 칫솔로 닦곤 했는데 지금은 전체적으로 다 어금니 칫솔 쓰고 있어요. 양치 시간이 좀 길어지긴 했지만 그래도 다 하고 나면 기분 상쾌하고 좋아요.,22.05.02.,5,0,한달사용기,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 6개 실속패키지
7,한달사용기SNS에서 추천글 보고 산 것 중에 제일 마음에 듭니다. 처음엔 어떻게 닦아야하는지 요령이 없어서 큰 칫솔로 한 번 닦고 -> 신경 쓰이는 부분만 어금니 칫솔로 닦곤 했는데 지금은 전체적으로 다 어금니 칫솔 쓰고 있어요. 양치 시간이 좀 길어지긴 했지만 그래도 다 하고 나면 기분 상쾌하고 좋아요.,22.05.02.,5,0,한달사용기,선택: D_어금니칫솔 / 종류: D-3 어금니 슬림모(부드러움) / 수량: 6개 실속패키지
8,"부드럽고 쓸만해요 ㅎ
가성비 좋아요 ! 
몇일쓰면 부드러워서 그런지 칫솔 모가 
바깥으로 휘긴 하는데 교정중 파워 칫솔질 하느라 ㅎㅎ",22.05.06.,4,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9,재구매배송빠르고 제품 좋아요. 교정이후 자주 이용해요~,22.05.08.,5,재구매,0,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 6개 실속패키지
