,내용,날짜,별점,재구매,한달사용기,종류
0,일반형은 확실히 뻣뻣하구요 슬림형이 부드럽구 좋아요 전 한달만사용하구 바로바로 교체하려구 여러개샀는데 칫솔모가 벌어지지않는이상 좀 더 써도 될거같아요,2019-07-03,4,0,1,3
1,어금니일반형 우연히치과에서 써보구좋아 찾아보니 파네요  아이들 이관리해주기 딱좋은 칫솔 강추강추!?,2019-07-04,5,0,0,4
2,어금니일반형 우연히치과에서 써보구좋아 찾아보니 파네요  아이들 이관리해주기 딱좋은 칫솔 강추강추!?,2019-07-04,5,0,0,4
3,저번에 구매 하였다가 잃어버려서 다시 구매 하였어요! 교정중인데 구석구석 잘 닦이구 쓰고 나면 개운해서 너무 좋아요! 다음에 또 구매하겟습니다^^ 아 그리구 혀클리너!! 감사합니다~~,2019-07-08,5,1,0,4
4,칫솔모가 가늘면서도 짱짱해요^^ 기존엔 시스테마등을 사용했는데 전 이곳 칫솔이 훨씬 맘에 드네요~ 해외배송 받을거라고 했더니 종이박스도  전부 빼주시고 칫솔 하나당 커버도 씌워주셨네요^^ 감사합니다~~~,2019-07-09,5,0,0,1
5,칫솔모가 가늘면서도 짱짱해요^^ 기존엔 시스테마등을 사용했는데 전 이곳 칫솔이 훨씬 맘에 드네요~ 해외배송 받을거라고 했더니 종이박스도  전부 빼주시고 칫솔 하나당 커버도 씌워주셨네요^^ 감사합니다~~~,2019-07-09,5,0,0,1
6,온가족의 이를 책임지네요ㅎㅎ  이거써본후로는 여기서만 사요 강추,2019-07-14,5,0,0,2
7,온가족의 이를 책임지네요ㅎㅎ  이거써본후로는 여기서만 사요 강추,2019-07-14,5,0,0,2
8,치아 교정을 시작해서 교정전용 칫솔을 구매했어요 만족합니다~~,2019-07-16,5,0,0,1
9,배송이 빠르고 가격도 만족스럽네요 다른 모델만 써보고 이 모델은 첨써보는건데 괜찮았으면 좋겠네요,2019-07-16,5,0,0,1
10,치아 교정을 시작해서 교정전용 칫솔을 구매했어요 만족합니다~~,2019-07-16,5,0,0,1
11,배송이 빠르고 가격도 만족스럽네요 다른 모델만 써보고 이 모델은 첨써보는건데 괜찮았으면 좋겠네요,2019-07-16,5,0,0,1
12,초미세모 굉장히 부드럽습니다~~ 부모님들이 사용하시기 좋은 것 같아요,2019-07-17,5,0,0,1
13,칫솔질하기에 넘 편해졌어요..감사합니다. 재구매했어요,2019-07-17,4,0,0,3
14,어금니 칫솔들 3가지 다 사봤는데 딱히 차이점 못느끼겠어요~ 아 어금니 일반형은 임플란트 하신 분들이 사용하기 딱일 것 같습니다,2019-07-17,5,0,0,4
15,칫솔질하기에 넘 편해졌어요..감사합니다. 재구매했어요,2019-07-17,4,0,0,3
16,초미세모 굉장히 부드럽습니다~~ 부모님들이 사용하시기 좋은 것 같아요,2019-07-17,5,0,0,1
17,사랑니랑 어금니용으로 샀는데 만족이요~~ 헤드가 엄청 조그만해서 깊은 쪽에도 막힘없이 술술 잘 들어가요,2019-07-17,5,0,0,4
18,"칫솔 헤드 작은게 꼼꼼하게 닦여서 선호하는 편인데 여기제품 칫솔 헤드가 작아서 좋아요~! 첫구매인데 너무 만족해서 꾸준히 여기서 시킬 것 같아요. 저는 잇몸이 약하진 않지만, 세게 닦으면 치아 마모 위험성이 높아진다길래 이중모와 올슬림모 구매했어요~ 그리고 부모님드리려고 초미세모도 구매했는데 완전 부드러워요! 처음 겪어본 부드러움이에요! 임플란트 하신 부모님들 쓰기에 좋을 것 같아요~~ 그리고 어금니 칫솔은 3가지 타입 다 구매했는데 솔직히 큰 차이는 못느끼겠어요~~ 작아서 다 비슷비슷합니다 아무거나 사셔도 될 것 같아요",2019-07-17,5,0,0,2
19,사랑니랑 어금니용으로 샀는데 만족이요~~ 헤드가 엄청 조그만해서 깊은 쪽에도 막힘없이 술술 잘 들어가요,2019-07-17,5,0,0,4
20,어금니 칫솔들 3가지 다 사봤는데 딱히 차이점 못느끼겠어요~ 아 어금니 일반형은 임플란트 하신 분들이 사용하기 딱일 것 같습니다,2019-07-17,5,0,0,4
