,내용,날짜
0,,22.05.05.
1,잇몸이 튼튼해지는 듯요. 입안도 개운하고요.~,22.05.05.
2,자주쓰는 치약이에요 좋아요,22.05.05.
3,"늘 사용하는 제품 저렴하게 구매했네요
상쾌하고 압안이 개운해요",22.05.04.
4,아침에 일어나면 입냄새가 나지 안아서 좋아요 텁텁함도 없구요,22.05.04.
5,"초2 아들도 이 치약만 써요.
양치하고나서 개운해요",22.05.04.
6,"살짝매워요
근데 입안이 개운하고 시원합니다",22.05.04.
7,시원하고 아침에 정말 입냄새가 안나요 ㅎㅎ,22.05.04.
8,진짜 최고 크기도크고 여기가 젤루 컸어요~!,22.05.04.
9,상품좋고 배송빠르고 서비스 품목 감사해요,22.05.04.
10,배송이 빠르네용 항상쓰던거 잘쓰구잇어요,22.05.04.
11,늘쓰던건데 적은수량 구매해서 좋아요,22.05.04.
12,온가족이 이치약만 쓰고싶어 합니다^^,22.05.04.
13,항상 쓰던거예유 배송 빨라서 좋아용,22.05.04.
14,덴티스테만 사용해요. 너무 좋아요.,22.05.04.
15,치아 건강에 탁월한 치약입니다!,22.05.04.
16,대용량이라 오래써서좋아요,22.05.04.
17,"치약은 꼭 덴티스테
씁니다",22.05.04.
18,이 치약만 쓰고있습니다.,22.05.04.
19,힝상 사용하는 치약이에요. 다른 치약보다 훨씬 개운하고 깔끔해요.,22.05.04.
20,배송잘받았어요~!!!,22.05.04.
21,이 치약만 써요~~,22.05.04.
22,좋야요좋야요좋아요좋아요,22.05.04.
23,"아주 만족합니다
이것저것 많이먹은날은 아무리 양치깨끗히 해도 뭔가 남아있는듯한 느낌인데 이건 상쾌해요
사용한치약중에 가장맘에들어요
다른치약보다 가격이 좀 나가긴하지만 계속 쓸예정입니다
아! 뚜껑이 좀 뻑뻑해서 열기가 힘들어요",22.05.03.
24,마트나 화장품가계에서 구매해서 썼는데 비싸게 주고 썼었네요ㅠㅠ;;;그래서 미리 3개주문했어요~ 한달마다 재주문하려구요^^좋은상품 좋은가격에 판매해주셔서 감사해요^^,22.05.03.
25,"사용하고 싶은 생각이 들도록 외관은 좋은데, 민트향은 예상만큼 나지 않아 아쉬웠음",22.05.03.
26,"배송이 빠르고, 맛, 향이 좋아요. 다음날 아침이 달라요. 비싸지만 값을 합니다.",22.05.03.
27,잘 닦이고 입안이 상쾌합니다. 좋아요. 적은 양으로도 충분해요.,22.05.03.
28,입안이 넘 깔끔하고 개운해서 이상하게 요상품을 쓰게되네요~^^,22.05.03.
29,"항상 쟁여 놓고 쓰는 치약 저렴하게 구매 했어요, 감사합니다^^",22.05.03.
30,생각보다 상쾌하다거나 깔끔한거 같지는 않네요,22.05.03.
31,좋아요 사용감 쾌적하네요,22.05.03.
32,"빠른배송요..
계속 쓰는 제품",22.05.03.
33,"늘 사용하고 있는 제품입니다
상쾌하니 좋아요 ㅎ ㅎ ㅋ ㅋ",22.05.03.
34,"늘 구매하는제품.
다른제품 사용하다 불편해서 다시구매
재구매의사 있음",22.05.03.
35,친구권유로 써봤는데 양치 후 음식냄새가 덜 남고 아주 개운합니다. 특히 아침까지 덜 텁텁해서 만족해요. 달지 않고 맵지 않아 온가족이 잘 쓰고 있어요. 치약을 짜려면 튜브를 힘주어 눌러야하는 단점이 있어요. 좀더 쉽고 부드럽게 나오면 아이나 노부모님이 더 편하게 쓸것 같아요.,22.05.02.
36,"양치후 상쾌하고 구취제거에 탁월해서 좋아요
이번 상품엔 칫솔과 여행용이 추가구성되어 더 만족스럽네요",22.05.02.
37,다른치약에 비해 시원해요~ 뭐가 더 좋은지는 좀더 써봐야 알거같아요,22.05.02.
38,이 제품 쓰면 다른거 못 써요 상쾌하고 좋아요!!!,22.05.02.
39,늘 사용해오던 제품이라서 믿고 재구매 했습니다. 원하는 제품을 빠른 배송으로 받아서 만족합니다 . 가격은 조금 더 저렴하면 좋겠습니다,22.05.02.
40,입안이 너무 상큼하고 사용하기도 편해요,22.05.02.
