,내용,날짜
0,,22.05.05.
1,너무 만족스러워요 ㅎㅎ,22.05.05.
2,입안이 너무상쾌해요.케이스가너무고급스러워요.치약같지않아요^^입냄세 구취가 좀 있는편인데 칫솔질후 상쾌함도오래가고 구취도사라져서 더좋은것같아요^^재구매할께요,22.05.04.
3,"매번쓰던 거라깨끗하고
이닦고 깔끔한 입속입니다",22.05.04.
4,앞으로도 계속 구매하려고 합니다 ~,22.05.04.
5,잘 쓰고 잇습니다 회사 사줫너뇨,22.05.04.
6,잘 쓸께요~ 감사합니다 굿굿,22.05.04.
7,역시 넘 좋습니다 감사합니다,22.05.04.
8,꽤나오래 사용중이에요ㅎㅎ 임신중인데 자극이 없어서 임신하고도 잘사용하고있어요ㅎㅎ,22.05.04.
9,거품이 일반 치약이랑 다르게 적은 편인데 양치하고 나서는 엄청 개운해요,22.05.03.
10,"사용하고나면 입안이 개운한맛 없음.
그냥 일반차약과 바슷함",22.05.03.
11,거품은 많이 안나는편이에요. 잘사용하고 있습니다,22.05.03.
12,뚜껑이 자석이라 쓰기 편하네요~ 향도 좋아요~,22.05.03.
13,계속 이것만 쓰게 되네요..개운하고 좋아요,22.05.03.
14,자석이라 사용이 편합니다. 향이 좋네요!,22.05.03.
15,양치 후 상쾌함이 남다르긴하네요~~,22.05.03.
16,일반치약과 별 차이없음.,22.05.03.
17,여행용치약 싸게 잘구매했습니다. 잘사용중입니다,22.05.03.
18,향은 좋아요 ! 직접 맡으면 매니큐어 냄새가 나고 골고루 분사도 안되고 끈쩍끈쩍합니다 ㅜㅜ.. 그래도 시간이 지나면 은은하게 향 나는게 좋아요 !,22.05.02.
19,이건 골고루 분사도 잘 되고 향도 좋아요 !!,22.05.02.
20,좋아요 ㅎㅎ 매번 입안에 젤같은게 일어나서 짜증났는데 이거 쓰고는 한번도 안그럽니다 ㅎㅎ,22.05.02.
21,매일 매일 뿌리고 다님 향도 잘나고 너무 좋음!,22.05.02.
22,입안이 시원해지는 느낌은 최고,22.05.01.
23,"잇몸에 약간 신경쓰이는 정도의 통증이 간혹 있었는데 최근에 그런일이 없어졌어요
치과가도 별 소용없었는데 .. 치약의 중요성을 알았네요",22.04.30.
24,"거품이 적어서 적응이 잘 안되네용.
칫솔질 하고, 칫솔을 씻고 다시 닦고는 편인데, 이러면 다시 입을 행굴필요가 없을 정도로 깔끔한 것은 좋아요",22.04.30.
25,"괜찮은거 같아요 , 거품이 없어서 좀 그랬는데 적응하니 오히려 좋은듯",22.04.30.
26,"평소에 쓰려고 샀는데 향수는 향수인가봐요
향에 민감해서 약하다고 리뷰 있는걸로 샀는데 독한 것만 산거같아요ㅠ",22.04.30.
27,저렴하게 잘 사서 만족해요 몇년째 쓰고있는 치약입니다,22.04.29.
28,항상 재구매하는 제품입니다. 배송도 빨라요.,22.04.29.
29,너무 상쾌해여!! 김거인 사랑해!!,22.04.29.
30,예전에 써봤던 제품인데 성분이나 사용감이 괜찮았어서 다시 주문해봤습니다,22.04.28.
31,"다른 치약보다 좋네요

쓰고나서 시린이 증상이 없어졌어요",22.04.28.
