,본문,날짜,리트윗,하트
0,무신사 빨리 보내주세요...,4시간,,1
1,"@love_deary0825
 님에게 보내는 답글",4시간,,1
2,무신사 베스트 가방 샀는데ㅋㅋㅋㅋㅋㅋ 지하철에서 똑같은거 다른 색상 다른 크기 메고 있은 사람 너무 많이 봄 ,5시간,,1
3,얘 사복 너무조음 무신사 돌려입기가 아니라 자기만의취향이 확고해보여서 더욱...,6시간,,
4,"더보이즈 와릿이즌 포카 양도 분철

상연 제이콥 영훈 현재 주연 케빈 뉴 큐 주학년 선우 에릭 마크곤잘레스 공홈 무신사 온라인 오프라인 theboyz what it isnt online offline event photocard poca pc buy sell",11시간,,1
5,아 인쇼~!~!~! .. 무신사 ㅠㅠ..??? .. . 제가 희랴랴랴.. 같은 옷을 못입는ㅇ병이걸려서.. 어디드라 바지이쁜데잇엇는데 까묵음 어이드라 ..,11시간,,
6,"#벼룩 #옥벼룩 #벼룩타래
파르티멘토 바람막이 윈드브레이커 무신사",12시간,,
7,"근데 광희가 싼티난다는 것도 옛날 황광희가 예능 뚫을 떄나 쓰던 컨셉이지 이제 광희는 트렌디한건데 명품팔고 가장 트렌드에 예민해야할 회사의 시피오가 싼티거리고 있네 ㅋㅋㅋ

그리고 개인적으로 발란이야말로 싼티남 ㅋㅋㅋ무신사 느낌남 ㅋㅋㅋ",12시간,,
8,무신사리뷰써야되니까 그제입은옷재탕해야지,13시간,,
9,"[서울은 늘 바쁘다 2일차] 폴로 베이포트 자켓, 무신사 스탠다드 와이드 히든 슬랙스 | 아들이라는 단어는 늘 무겁다. http://blog.naver.com/lfc77/222715998664…",13시간,,
10,무신사 이게 패션업계를 다 똑같이 만든거야,13시간,,1
11,진짜 개짱나 울 엔 무신사핏 입히지 말라고 마른롱다리 자랑할때가 제일 좋으니까 허리까지 쫌매는 옷은 좋아도 허벌 바지 안사요,13시간,,2
12,"@af_zto
 님에게 보내는 답글",13시간,,
13,"@gamzayeyoh
 님에게 보내는 답글",13시간,,1
14,"@cuznlf
 님에게 보내는 답글",13시간,1,
15,"@cksquddl0108
 님에게 보내는 답글",14시간,,
