,본문,날짜,리트윗,하트
0,"#벼룩 #옷벼룩 
무신사 스웨트 팬츠 M사이즈
실착 1회 

1.8",7분,,
1,,3시간,,
2,미친 무신사 인간들 사이에 뽀짝상큼봄바람최찬희 뭐임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3시간,,1
3,"필저씨 진짜 관리잘할것같음
자유복장이라도 약간의식처럼 맨날 일찍부터 일어나서 머리만지고 셔츠입고 출근할것같고 양말도 무신사1507 이런거 세트로사서 신을것같고
퇴근하면 절냄새나는 인센스스틱 피워놓고 맥주랑 영화한편 때리고자는게 유일한 낙인데
그 루틴도 윤고딩만나고 다 빠그라졌으면",4시간,9,17
4,무신사 팜므뮤즈,3시간,,1
5,미친 무신사 인간들 사이에 뽀짝상큼봄바람최찬희 뭐임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3시간,,1
6,"필저씨 진짜 관리잘할것같음
자유복장이라도 약간의식처럼 맨날 일찍부터 일어나서 머리만지고 셔츠입고 출근할것같고 양말도 무신사1507 이런거 세트로사서 신을것같고
퇴근하면 절냄새나는 인센스스틱 피워놓고 맥주랑 영화한편 때리고자는게 유일한 낙인데
그 루틴도 윤고딩만나고 다 빠그라졌으면",4시간,9,17
7,애니메이트 말고 무신사 테라스나 가야겠다… ㅠㅠㅠㅠ,4시간,,2
8,"ㅡㅡ.. 인터넷에서 신발사는거 못믿겠다 
무신사 거기서도 아디다스 8만넘게 주고산 운동화가 보름도 안되서 겉에 천이 여기저기 자잘하게 찢어지고 난리남ㅅㅂ 내가 신발신고 비보잉추는것도아닌데",4시간,,
9,무신사 15퍼 쿠폰 오늘까지야 날리기싫은디..,4시간,,1
10,아니 29cm가 무신사였어...?,5시간,,
11,"@jeolgan_
 님에게 보내는 답글",6시간,,1
12,"모스키토 머더러스… 무신사 입점하는 상상… 
 ㄴ 그게 뭔데 ㅅ씹덕아",6시간,,
13,무신사충 될 생각 정말 없엇는디… 언젠가 한 번에 많으 삿더니 포인트도 많이 주고 쿠폰도 많아 줘서 인생 저당 잡힘,6시간,,
14,무신사                                지그재그,6시간,2,1
15,앗 답글로 티셔츠랑 무신사 링크 달아둘게용!!!,8시간,,1
16,무신사 빨리 보내주세요...,8시간,,1
17,"@kyp_jiva
 님에게 보내는 답글",3시간,,
18,"근데 광희가 싼티난다는 것도 옛날 황광희가 예능 뚫을 떄나 쓰던 컨셉이지 이제 광희는 트렌디한건데 명품팔고 가장 트렌드에 예민해야할 회사의 시피오가 싼티거리고 있네 ㅋㅋㅋ

그리고 개인적으로 발란이야말로 싼티남 ㅋㅋㅋ무신사 느낌남 ㅋㅋㅋ",16시간,,
19,무신사리뷰써야되니까 그제입은옷재탕해야지,14시간,,
20,"#벼룩 #옥벼룩 #벼룩타래
파르티멘토 바람막이 윈드브레이커 무신사",16시간,,
21,"근데 광희가 싼티난다는 것도 옛날 황광희가 예능 뚫을 떄나 쓰던 컨셉이지 이제 광희는 트렌디한건데 명품팔고 가장 트렌드에 예민해야할 회사의 시피오가 싼티거리고 있네 ㅋㅋㅋ

그리고 개인적으로 발란이야말로 싼티남 ㅋㅋㅋ무신사 느낌남 ㅋㅋㅋ",16시간,,
22,무신사리뷰써야되니까 그제입은옷재탕해야지,16시간,,
23,"[서울은 늘 바쁘다 2일차] 폴로 베이포트 자켓, 무신사 스탠다드 와이드 히든 슬랙스 | 아들이라는 단어는 늘 무겁다. http://blog.naver.com/lfc77/222715998664…",16시간,,
24,무신사 이게 패션업계를 다 똑같이 만든거야,16시간,,1
25,진짜 개짱나 울 엔 무신사핏 입히지 말라고 마른롱다리 자랑할때가 제일 좋으니까 허리까지 쫌매는 옷은 좋아도 허벌 바지 안사요,16시간,,2
26,"@af_zto
 님에게 보내는 답글",16시간,,
27,"@gamzayeyoh
 님에게 보내는 답글",17시간,,1
28,"@cuznlf
 님에게 보내는 답글",17시간,1,
29,"@cksquddl0108
 님에게 보내는 답글",17시간,,
30,무신사놈들 맨날 송장만 뽑아놓고 물건 안 넘김 취소 못하게,17시간,,
31,"2020년 1월 파운드당 $48.71이던 원면 가격이, 4월 말 $148.03까지 뛰었다고. 안 오르는 것이 하나도 없죠. https://hankyung.com/economy/article/202204288842i… [단독] 원면 가격 역대 최고치에…자라·무신사 '본격 인상'",17시간,24,11
32,근데 진짜 나 요즘 옷 무신사 아니면 빈티지샵에서만 사네,18시간,,
33,"더보이즈 와릿이즌 포토카드 양도

오프라인 / 무신사 상연 : 0.2 (현물)

덥즈 마크곤잘레스 포카 이상연",18시간,,
34,옷사려고 무신사 들어갔다 흰양말만 14개사고 나옴,19시간,,22
35,얘 사복 너무조음 무신사 돌려입기가 아니라 자기만의취향이 확고해보여서 더욱...,,,
36,"모두의 익명 질문을 모집 중!

최근 답변한 질문
● 골든님 폴라 당첨 넘 축하드…
● 혹시 천러 생카 특전 프리뷰…
● 혹시 그 어제 무신사 라이브…
● 안녕하세요~ 혹시 런쥔이 생…
#질문상자 #익명질문모집중",20시간,,
37,"잇자바이브...당장 이모자를...내어주세요...
왜 무신사 없엉....",21시간,,
38,레전드 무신사 레전드 에이블리,20시간,690,"1,248"
39,"더보이즈 포카 양도합니다 

에버라인 시그 영통 팬싸 특전 미공포, 라포티셀 증정 포카, 와릿이즌 오프라인/무신사 포카
상연 영훈 현재 제이콥 뉴 케빈 주학년

케빈, 학년은 두 장 일괄 가격입니다 !
운미포 가격, 하자
메트 확인 후 디엠 주세요 (미확인시 책임)",20시간,,
40,"모두의 익명 질문을 모집 중!

최근 답변한 질문
● 골든님 폴라 당첨 넘 축하드…
● 혹시 천러 생카 특전 프리뷰…
● 혹시 그 어제 무신사 라이브…
● 안녕하세요~ 혹시 런쥔이 생…
#질문상자 #익명질문모집중",20시간,,
41,"잇자바이브...당장 이모자를...내어주세요...
왜 무신사 없엉....",21시간,,
42,무신사 코디 남자 보면... 애가 어디 아픈가 왤케 비렁뱅이마냥 서있나 싶고,21시간,,1
43,"헐 얼마전에 거기 쇼룸 갔었는데 
너무나 고맙습니다 아기보그 아기무신사",21시간,1,
44,"@jxjxOjx
 님에게 보내는 답글",21시간,,
45,진심 이펙수 모든 멤이 무신사 남고딩 스타일을 고수할 때 언제나 댄디 유니크 룩을 소화하는 남성 서경뮤,21시간,2,2
46,홀린듯이 무신사애서 딱 저런 오픈칼라 셔츠 찾고 있었어요,22시간,,2
47,무신사 당첨 안 됐어... 좋아요 눌러준 가좍분들 기자 고마웠어용 ,22시간,,
48,"韓国購入,購買代行
(번개장터, 중고나라, 무신사 オンラインサイトー)
必ずメインツイートをご確認

韓国のK-POPアイドル グッズ 注文制作代行
(フォトカード、 透明フォトカード、 アクリルキーリング、 カップホルダー)

手数料500円~, 韓国/日本へ配送
注文制作は(いいね)確認後ご連絡ください",22시간,,
49,"역시 무신사남 사이에서 가장 빛나는 그는,,",22시간,,5
50,"반택포)미개봉 더보이즈 와릿이즌 무신사 포카

미개봉 입니다!
1.5 반택 포함 가격

배송은 gs반택 이용합니다:)",23시간,,
51,"@lemoni_0903
 님에게 보내는 답글",,,
52,무신사 스탠다드 바지좀 사보려는데 입어봐야할까 싶어서 얘네 오프라인은 어디에요....,4월 29일,,
53,"@three_oclock_
 님에게 보내는 답글",4월 29일,,
54,"#슈프라이즈 #shoeprize 
나이키 에어 포스 1 로우 GS 애슬레틱 클럽 화이트 
 https://shoeprize.com/raffles/81181 
 
 무신사 
 
#Sneakers #스니커즈
#Raffle #래플 #DRAW #드로우",4월 29일,,
55,5월 10일에 현체가는데 입을옷이없으...무신사 뒤져봐야것디,4월 29일,,
56,"@26_JKlove
 님에게 보내는 답글",4월 29일,,1
57,"재차나 무신사 버리지 말아죠.. 아니 버려도되는데 그 알지.. 손민수할수있는 기회를 한번씩만줘라,,,",4월 29일,,
58,"【  】
#무신사 #MUSINSA 
[MUSINSA] [무신사 키즈] 온 가족 호캉스를 위한 반얀트리 바우처 100만 원 ─ 2022-05-01 00:00:00 응모 | 1,000,000원 → 1,000원 (99%) 
 https://musinsa.com/event/raffles/362… 
 
#Sneakers #스니커즈 
#Raffle #래플 #DRAW #드로우",4월 29일,,
59,무신사 스탠다드 바지좀 사보려는데 입어봐야할까 싶어서 얘네 오프라인은 어디에요....,4월 29일,,
60,"@three_oclock_
 님에게 보내는 답글",4월 29일,,
61,"#슈프라이즈 #shoeprize 
나이키 에어 포스 1 로우 GS 애슬레틱 클럽 화이트 
 https://shoeprize.com/raffles/81181 
 
 무신사 
 
#Sneakers #스니커즈
#Raffle #래플 #DRAW #드로우",4월 29일,,
