,내용,날짜
0,,22.05.04.
1,기존에 쓰던 암웨이치약과 맛과색이 달라서 좀 이상하게 느꼈는데 저만 그런게 아니었나봐요~~다른분도 그렇게 느끼시는거보면~~써야될지 말아야될지~~,22.05.03.
2,암웨이 치약써보고 좋아서 다시 구매했어요 배송오래걸릴줄 알았는데 빨리와서 좋네요,22.05.03.
3,배송도 빠르고 치약도 넘좋아요.잘쓰고 있어요.담에 재주문 할꺼야요^^*,22.05.03.
4,워낙 유명한 치약이라 믿고 싸게 구입해서 잘 쓰고 있어요,22.05.03.
5,20년전부터 쓰던거라...점렴하게 잘 구입한것 같아요,22.05.03.
6,암웨이치약너무좋아서 계속쓸예정이구오 좋습니다,22.05.03.
7,항상 구매해서 쓰고있는 제품이라 믿고사용합니다,22.05.03.
8,한동안 암웨이치약 문제 있다고해서 안썼었는데 그래도 이만한 가성비 치약이 없네요,22.05.03.
9,양치후 입안이 상쾌하고 오랫동안 개운하네요,22.05.03.
10,"다른 치약 보다 개운 함이 오래 지속
구매강추",22.05.03.
11,배송 엄청 빨라요 온가족이 쓰는 치약이에요,22.05.03.
12,양치하고 헹구고 나면 개운해서 계속 씁니다,22.05.03.
13,항상쓰는제품입니다 다음에 또 구입할게요,22.05.03.
14,항상 쓰고 있어요 제일 좋아요,22.05.03.
15,오랜만에 샀는데 또 엄청좋다는 못느끼고있음요~ㅋ그래도 좋다는말 많으니 그말듣고씁니다~,22.05.03.
16,매번쓰던것입니다 조아요,22.05.03.
17,만족하고 사용 중입니다,22.05.03.
18,항상 쓰던 제품입니다,22.05.03.
19,"물품은 잘 받았습니다만 암웨이 치약을 늘 사용하고 있는데 암웨이 치약이 아닌것 같은 느낌이네요....
색깔도 암웨이치약에 비해 찐하고......",22.05.03.
20,"배송 엄청 빠르네요
좋은 가격에 잘 샀어요^^",22.05.03.
21,저렴하게 잘 샀습니다 감사합니다 ~~,22.05.03.
22,배송 빨라서 금방 받았어요. 써본 치약 중에 사용하고 나면 가장 깔끔해서 계속 사용하고 있어요,22.05.03.
23,wkakskwjsjsj,22.05.03.
24,말해뭐합니까 재구매 재재재구매입니다,22.05.03.
25,좋아요 좋아 배송빠르고 좋아요,22.05.03.
26,좋아요 아주 좋아요 좋아요 아주 좋아요,22.05.03.
27,"애들이 아직 매운 치약을 못 쓰는데
집사람이 테스트용으로 다른건 사서 사용해보니 힘들어 하더라구요
그래서 평소에 쓰던 치약을 구매....
가격착하고 구입 잘한것 같습니다
다음에 꼭 재구매합니다",22.05.02.
28,부드럽고 개운해요 돌려서 열고닫는 뚜껑이좀 불편하지만 감수하고 계속 씁니다. 다른치약 뚜껑으로 끼워쓰니 그런대로 괜찮네요.,22.05.02.
29,배송 엄청 빠르구요...몇년째 쭉 사용하고있는데 간혹 다른거 쓰고나면 안되겠다싶어 암웨이치약 찾더라구요~~믿고 구입햇어요..,22.05.02.
30,"항상 쓰는 제품이예요~
다른 치약들보다 쓰고나면 상쾌하니 넘넘 좋습니다.
고민하신다면 무조건 사세욧~~",22.05.02.
31,"배송 9일만에 받긴 받았네요
정품인지 궁금한게 전에 쓰던 거랑 다른게 무른 질감에 향도 다른것 같고.....",22.05.02.
32,"싸게 잘샀어요
포장도 꼼꼼하고
많이파세요
다쓰고나면 또 주문할께요",22.05.02.
33,넉넉한 양과 향이 강하지 않아 칫솔질이 잘 되는 것 같아요,22.05.02.
34,항상 쓰는 치약..개운하고 깔끔해서 이것만 쓰게되네요..,22.05.02.
35,암웨이 눈팅만 하다 사용해보니 가성비 나쁘지 않네요!,22.05.02.
36,좋아요 기존꺼보다연하던데....가짜는아니겠죠 ㅠㅠ,22.05.02.
37,항상 쓰던치약인데 맛도틀리고 쫌 이상하네요 이런것도 가짜가 있나요 ㅠ완전 찝찝하네요 입에넣는건데 ㅠ,22.05.02.
38,"믿고쓰는 치약이예요
착한가격에 대량구매했어요~",22.05.02.
39,글리스터 가격은 비싼데 값어치는 한다. 추천!,22.05.02.
40,늘 쓰던 치약입니다. 입안에 개운해져요~,22.05.02.
41,좋아요~~치약은 요것만 쓰게 되네요~~^^,22.05.02.
42,계속 이용하고 있는제풍 감사합니다,22.05.02.
43,이거아니면다른거못써요싸게잘샀음,22.05.02.
44,배송도빠르고 좋네요~싸게잘샀어요,22.05.02.
45,배송이 좀 느린거 빼곤 다좋았어요,22.05.02.
46,배송이 아주 빠르고 해서 만족 함,22.05.02.
47,믿고 계속 사용중인 치약이라ᆢ,22.05.02.
48,저렴한가격에 잘 구매했습니다,22.05.02.
49,계속 이용 할 듯 합니다.,22.05.02.
50,여전히 잘쓰고있습니다,22.05.02.
51,좋아요!! 잘 쓸께욥!!!!!,22.05.02.
52,신랑이 이 치약만 써요,22.05.02.
53,"늘구매하던거라 구매했는데 포장상태는 꼼꼼하지 않습니다
종이가 찢어져서 왔는데 내용물은 이상없는것 같습니다",22.05.02.
54,항상 쓰던 치약인데 다 떨어져서 재구매해요 이 치약만 쓰게되네요,22.05.02.
55,"항상 암웨이 치약 쓰고 있는데 다른치약은 못쓰겠네요.
네식구라 금방금방이라 금액도 만만찮네요.",22.05.02.
56,에어백? 빵빵하게 잘 포장되어 있어요. 저렴하게 잘 샀습니다,22.05.02.
57,너무늦게도착 택배비 5000원 더 손해퐜어요.,22.05.02.
58,"별하나도 아까움
배송이 12일이나 걸리고 취소 요청해도 취소 안해주고 전화도 안 받음",22.05.02.
59,감사합니다 감사합니다 잘받았습니다,22.05.02.
60,조아여 조아여 조아여,22.05.02.
61,"톡톡으로 상품이 택배사에 전달되었다는문자~3일후에도 받지못해
취소처리 요청했으나 택배가 시작되었다고 취소처리안됨..기다리다 한번더취소처리요청..취소안된다는 답.. 그리고일주일후 수령~정말 너무한다싶은맘~~~~
판매자의 설명없는 대응법에 넘 속상..
다시는 이곳에서 주문안해야지~~",22.05.01.
62,가끔 썼던 제품인데 괜찮아서 또 주문해 씁니다 가격은 다른치약보다 더 비싼듯 한데 치아미백에 효과가 있을까봐 선택했네요 하얀치아를 위해... ^^,22.05.01.
63,"포장은 잘되어있었으나 찌그러진게 많네요. 그닥 중요한게 아니니..
잘쓰겠습니다",22.05.01.
64,항상 사용하는 치약입니다. 조금 비싸지만 가족들이 이것만 쓰네요.,22.05.01.
65,배송도 빠르고 개봉은아직안했지만 언제나 쓰는거라 좋은듯요,22.05.01.
