,내용,날짜
0,,22.05.05.
1,개운하고 좋아요 크기도 엄청크죠 하나 꺼내면 오래써서 좋네요,22.05.04.
2,대량 구매해서 많이 사서 쓰는중 좋아요,22.05.04.
3,완전 좋아여 역시 죽염입니다,22.05.04.
4,"가성비, 품질 우수합니다.",22.05.04.
5,텁텁하지않고 시원해요 온가족 치약으로 좋아요,22.05.03.
6,항상 쓰던거라 좋아요 저렴해요,22.05.03.
7,늘 쓰는 치약이에요.,22.05.03.
8,죽염함유된 치약이 개운해서 알아보다가 리뷰가 좋아 믿고 구매했어요 ~가격도 저렴하게 사고 개운하고 상쾌하니 좋네요~,22.05.02.
9,항상 쓰는 치약입니다. 개별 상자가 다소 찌그러지고 벌어져서 좀 그랬지만... 잘 쓰겠습니다.,22.05.02.
10,좋은물건 싸게 구입했습니다,22.05.02.
11,치약좋아요 상쾌해요,22.05.02.
12,상품을받아 사용중 이지만매우만족합니다.,22.05.01.
13,배송이 좀 니리긴했지만 싸게 잘샀습니다,22.05.01.
14,좋아여 재구매 하려고요 저렴함,22.05.01.
15,죽염아님 양치가 깨운하지가 않아서 계속쓰고잇음강추,22.04.30.
16,배송도 좋고 포장도 잘되어 왔네여.,22.04.30.
17,양치하면 제일상쾌한것같아요,22.04.30.
18,저렴하고 편하게 쓰기 좋아요,22.04.30.
19,역시 상쾌하고좋네요,22.04.30.
20,맘에듭니다 가성비킹,22.04.30.
21,Good to buy !!!!,22.04.30.
22,"계속 사용하고 있는 치약이에요
가격도 저렴하고 양치 후 개운하고 향도 좋아요",22.04.30.
23,제품이 좋아 선호하는 치약입니다.앞으로 재구매 예정입니다.,22.04.30.
24,배송도빠로고감사합니다 잘사용 할께요,22.04.30.
25,좋아요아주좋아요강추,22.04.30.
26,잘받았습니다. 기존에 죽염치약은 너무 짜다는 느낌이 강해서 구강에 죽염이 좋다는걸 알아도 못쓰고 있었는데..이건 죽염느낌이 너무 없는게 아쉽지만 개운하게 잘 쓸수 있겠엉ᆢㄷ.,22.04.29.
27,늘 쓰는치약이라 넉넉히 사두었어요,22.04.29.
28,향이 좋아 애용하고 있습니다,22.04.29.
29,"물건 배송 만족합니다,~",22.04.29.
30,아주 잘쓰고 있어요 굳,22.04.29.
31,"쎄지 않고 깔끔한 치약 발견하여 애용중입니다.
배송 빨랐어요.",22.04.28.
32,가격도 착하고 죽염치약이 입안이 상쾌해서 좋네요~^^,22.04.28.
33,아이들과 온가족 같이 사용하니 많이 구매해 봤어요,22.04.28.
34,포장도 깔끔하게 오고 싸게 잘샀어요,22.04.28.
35,"160g*3개,10개를 판매한다고 해서 구매했는데, 130*3개,10개를 배송. 다시 교환신청 했더니 교환 입고되고도 제품배송 없고, 전화하면 15분간 통화대기하다가 끊기를 두번 나의 통신비를 잡아먹고 전화 안 받는 회사. 톡톡 문의하니 그제서야 사람 약 오르게 또 130g*3개,10개를 배송하는 회사. 허위광고하고, 사과도 하지 않고, 톡톡으로 문의해도 응답도 늦고. 허위광고, 사과 않는 나쁜 회사, 그동안 죽염치약, LG생활건강만 사용해온 나를 병신으로 만든 회사. 시간 되면 소비자보호원에 고발한다.",22.04.27.
36,좋아요 다음에 또이용할께요 추천합니다,22.04.26.
37,싸고 좋아요 굿굿입니다ㅎㅎ,22.04.26.
38,상쾌해서아주좋아요.,22.04.26.
39,양도많고 좋은제품인것 같아 맘에듭니다.,22.04.25.
40,저렴하게 잘 구입했어요,22.04.25.
41,"항상쓰던거라 구매했어요
담에 재구매할게요",22.04.25.
42,엄청 상쾌해서 매번 이 치약으로 주문해요. 품절만 안되었으면 좋겠어요. 다음에도 이걸로 주문하려고요.,22.04.24.
43,식구들넉넉히쓸수있으며. 죽염이라적극추천합니다,22.04.24.
44,치약에는 소금기가 약간 들어가 있는 치약이 좋더라고요.부드럽고 개운해요,22.04.23.
45,한 번 주문하고 좋아서 또 주문했어요 산뜻하고 개운해요,22.04.23.
46,오래 두고두고 사용해도 좋아오,22.04.23.
47,가성비 최고에용 ㅎㅎㅎ,22.04.23.
48,좋은상품 저렴한가격에 구매해서 좋아요,22.04.22.
49,중량좋고 ᆢ 맘에 쏙~~감사합니다,22.04.22.
50,"이 치약으로 양차를 하고 나면 입안이 시원해요. 상쾌한 입안을 느낄 수 있었습니다.
만족하며 사용중입니다.",22.04.21.
51,개운해서 너무 좋아요. 이것만 사용해요.,22.04.21.
52,항상 구매하는 상품입니다,22.04.21.
53,저렴한 가격에 좋은제품 구입했습니다,22.04.20.
54,"양치하고 나면 개운해요
정말 좋아요",22.04.20.
55,텁텁한 거 없어서 좋음,22.04.20.
56,배송도 엄청 빠르네요 잘쓸께요,22.04.20.
57,저렴하고 빠른 배송에 만족합니다. 아직 써보진 않았지만 괜찮으면 다음엔 많이 살게요.,22.04.19.
58,잘받았어요 꾸준히 사용하는 치약이라 적응이되여 이제품만 사용합니다~^^,22.04.19.
59,쓰면 확실히 좋다는 걸 아는 치약,22.04.19.
60,빠른 배송 암튼좋아요,22.04.19.
61,좋아서 딸에게도추천,22.04.19.
62,이 치약이 좋아서 계속 이것만 쓰고 있어요 오프라인보다 훨씬 저렴해서 좋아요,22.04.18.
63,배송이 진짜 빨라서 좋습니다!,22.04.18.
64,총알 배송이네요 고맙습니다~,22.04.18.
65,굿 ㅡ,22.04.18.
66,"양치 후 시원한 느낌이 너무 좋습니다.
가격도 정직하구요~",22.04.17.
67,유통기한도 길고 여기 쇼핑몰이 싼거 갇네요,22.04.17.
68,이것만 써요 프레시 하고 쓰기 좋아요,22.04.17.
69,아이들 기숙사 준비물에 안심입니다.,22.04.17.
70,처음 접하는데 입안이 상쾌하네요,22.04.17.
71,써보고 좋으면 재구매하려구요~,22.04.17.
72,시원하고 만족합니다,22.04.17.
73,아주아주 좋아요 부드럽고,22.04.17.
74,"죽염만 씁니다.
처음주문했는데 사용감이 좋네요.",22.04.16.
75,가격저렴 빠른배송~~~마트상품 그대로~^^,22.04.16.
76,부드럽고 향기로워 사용하기 편함,22.04.16.
