,본문,날짜,리트윗,하트
0,“(잔남 곤충산업연구소의 건강기능식품 연구) 성과로 갈색거저리는 구강 유산균 증식용 식품에 반려동물 충치 예방용 간식 재료로 쓰이고 있다.”(기사읽기: https://m.hani.co.kr/arti/area/honam/1041693.html#ace04ou…),24분,,
1,,1시간,,
2,어떤 정신나간새끼가아침부터벨을부수니?! 하고 문열었는데 이경사임,1시간,,
3,"막상 들어와서 애 침대에 던져놓으니
더 맛있게 생긴 거임
아 씨발.. 진짜 괜히 데려왔네 낼 경찰서 보내야지 이 경사가 믿어줄지는 모르겠다만
그냥 제혅이 자기방에 던져놓고
다른 방가서 잤음
아침되니까 띵동띵동띵띵띵띵띵
골울리는 벨소리에 엉훊이가 비척비척 개짜증내면서 문으로 걸어감",1시간,,
4,"말 거의 다 해서 끝맺다 말고 대체 왜 그러는 건데 나 지금 심장 얼어 붙었다고. 자학개그 재미없어. 오키 그래서 뭔데요. 
대충 모부가 부부싸움하다가 동반자살했고 애도 같이 죽은 걸로 사건경위서 야매로 작성해서 올린 후배새끼 땜에 주위보다가 짐승시체들 보고 여기 와본거래",1시간,,
5,"-뭔데요 아침부터 왜 지랄인건데요 경사님
-영훊씨 여기 뭐 8살짜리 남자애 오지 않았어?
-온 건 아니고 데리고 왔어요
-아씨발너진짜미친새끼구나 너이새끼이제진짜감빵가자
-아니뭔데.. 뭔데 내 말을 더 들어야지!!
하고 자초지종 설명함 이경사 얼굴이 좆됐다를 형상화하고 있었으니",1시간,,
6,어떤 정신나간새끼가아침부터벨을부수니?! 하고 문열었는데 이경사임,1시간,,
7,"막상 들어와서 애 침대에 던져놓으니
더 맛있게 생긴 거임
아 씨발.. 진짜 괜히 데려왔네 낼 경찰서 보내야지 이 경사가 믿어줄지는 모르겠다만
그냥 제혅이 자기방에 던져놓고
다른 방가서 잤음
아침되니까 띵동띵동띵띵띵띵띵
골울리는 벨소리에 엉훊이가 비척비척 개짜증내면서 문으로 걸어감",1시간,,
8,여러분 제가 8년만에 치과에 가게생겼습니다...(사실 사랑니 빼러 간거였어서 실제로 충치관련으로 가는건 22년만임),1시간,,
9,"@neogul_joy
 님에게 보내는 답글",1시간,,
10,"-근데 왜 데려와 애를
-얘가 갑자기 기절했다고
-냅뒀어야지
-야 이 날씨에 애 동사해 발견되면 백퍼 우리부터 찾으러 올 걸? 나도 다 생각을...ㄱ-
-형 진짜 병신이야? 동사한 애를 왜 우리한테 데려와
-옆에 내가 한창 뭐 먹고있었으니까!! 지랄떨지마 걍 내가 알아서함
하고 방문 쾅닫고 들어감",1시간,,
11,"주엲이 엉훊이 손에 들린 거 보자마자 인상쓰고
-그 애새끼는 뭐야?
-몰라 웃었더니 갑자기 눈까뒤집고 기절했어
-형이 말을 걸었어?
-아니? 도아주세요..하던데
그때 짝제가 지었던 기쁜데슬프다 표정재연해주니까 주엲이 정색함",1시간,,
12,"애기 재현이 이 뽑을 때 울었을까? 
치과 충치치료하고 어머님 차 뒷자석에서 울던 애기니까 뽑을 때도 울지 않았을까 너무 ㄱㅇㅇ",1시간,,
13,어리니날 키념 짝제 키잡..,2시간,,
14,"자기가 죽여놓은 짐승시체 옆에
애가 동사해서 발견되면
그것만큼 성가시는 건 없을거라
쓰러진 애 내복 목덜미 잡아다가 한손에 달랑달랑 들고
먹고 싶어질 때마다 다른 손으로 자기 뺨 내려치면서
자기 집으로 귀가함",2시간,,
15,"근데 애 옷차림 보니까 곰돌이 내복이고 또 신발도 없어 발에서 상처 짓물러서 피나 쭐쭐 흘려...
짐승피냄새때문에 못 맡았는데..
넘...... 꼴리는 냄새임...
오웅 달려들 뻔..
자기 뺨 한 대치고 정신차림
또 일 냈다간 날 가만 안 두겠지,,
데려가도 좋아하진 않겠는데",2시간,,
16,"0.3초 고민하고 한숨쉬다가 도망가는 토끼 발로 콱 밟아놨는데 그거에 애 또 움찔.. 뱉는 말투랑 웃는 얼굴은 완벽 근데 피가떡칠
-뭐라구? 애기양?
-도아주...세..
하다가 짝제 뒤로 혼절함
맙소사 이렇게 귀찮은 일은 왜 맨날..
그냥 먹을까... 어차피 아무도 없는데
당연함 밤 야산에 누가 있음",2시간,,
17,"대체 뭐가 말거는 거야 
하고머리넘겨봤는데

세상 먹음직스럽게 생긴 남자애가 있음
눈치는 있는 건가 입은 억지로 끌어올렸는데 눈은 못 참겠는지 울어..
양심 재기한 건 아니라 그 얼굴보고는
애 못 먹을 거 같고...
사실 그런 취미 끊은지 51년찬데 애가 너무 맛있게 울어...",2시간,,
18,"야!! 하고 소리질러보니 상황 종료임
와다다다 따져묻는 엉훊이한테 주엲이 그냥 웃으면서 형 키우자 그냥.. 대충 굶어서 죽이면 이경사가 어쩔거야 근데 우리는 몰라서 그런 거니까 뭐라고도 못 할 거고 나중에 무슨 일 생기면 쓸 카드 정도는 해놔야지 .. 우리 경사님 높이높이 올라가야...",,,
19,"잠 뒤지게 자고 밥먹고 상쾌하게 깼더니 치료필요한 초기충치 5개있는거따윈 아무렇지 않은마냥 행복해졌다
다 고치는데 대략 70든다는것마저 아무렇지 않아짐
(이 개열심히 닦고 가글에 치간칫솔까지 합니다 드러운사람 아님)",2시간,,1
20,"양치 잘해라,,,
충치치료와 신경치료로 죽고싶지 않다면 ,,,",2시간,,
21,"형, 진짜 좆된 거야. 담배도 칫솔도 없어. 형 칫솔 쓰고 형 담배 피울 거야. 충치 같은 거 있냐?",2시간,,
22,"왜... 스케일링 주기적으로 하는 내게 이런 시련이?? 해도
치과 2개가서 진료로 까보면 10대때 때운 레진들이 많이 쓰여서 그 사이로 충치생겼다는 말 뿐임
갈때 됐다는거지 응응...아렀다...",2시간,,1
23,"잠 뒤지게 자고 밥먹고 상쾌하게 깼더니 치료필요한 초기충치 5개있는거따윈 아무렇지 않은마냥 행복해졌다
다 고치는데 대략 70든다는것마저 아무렇지 않아짐
(이 개열심히 닦고 가글에 치간칫솔까지 합니다 드러운사람 아님)",2시간,,1
