,본문,날짜,리트윗,하트
0,"병원에 가야할거같은데
그냥 집앞 내과가서 항염제 달라고 하면 되는건지
아무래도 잇몸 문제니까 치과를 가는게 맞는건지
아니면 목이랑 귀가 아프니까 이비인후과에 가야하는건지
알수가없다",13초,,
1,"5D384

나의 애기르 전해 들은 친구들은 세명이 캠핑느낌
쇼핑
재선거
호기심
파주시
작대기아이스
동해후ㄱㅣ
웹툰미리보기
치과
검찰
가랜드
여행일기
요가스타그램",25분,,
2,"앞니 두톨 안 보이는 김에 궁금증 1나
과연 제현이는 유치 빠질 때 울었을 까 안 울었을까
부모님께서 뽑아주셨을까 치과 가서 뽑았을까",26분,4,9
3,"""정말 실례지만..한 가지 여쭤볼 게 있는데요. 혹시 베타신가요?""
채굴팀 사람은 그렇다고 대답했다. 혹시 성별 형질에 따라 치료가 달라지나요? 하고 되묻는 말에 박무현은 그저 어색하게 웃었다. 그건 아닌데 치과 안에 화학테러가 일어난 것 같아서요. 그런 말은 속으로만 했다.",26분,,1
4,"앞니 두톨 안 보이는 김에 궁금증 1나
과연 제현이는 유치 빠질 때 울었을 까 안 울었을까
부모님께서 뽑아주셨을까 치과 가서 뽑았을까",26분,4,9
5,"""정말 실례지만..한 가지 여쭤볼 게 있는데요. 혹시 베타신가요?""
채굴팀 사람은 그렇다고 대답했다. 혹시 성별 형질에 따라 치료가 달라지나요? 하고 되묻는 말에 박무현은 그저 어색하게 웃었다. 그건 아닌데 치과 안에 화학테러가 일어난 것 같아서요. 그런 말은 속으로만 했다.",26분,,1
6,학교 다닐 때도 그런 경우를 본 적이 있었다. 너무 잘 나서 남들이 다 피해주는 그런 사람. 신해량도 그런 과겠지. 박무현은 태평하게 생각했다. 그게 아닐지도 모른다는 것은... 오후 예약 환자가 치과 문을 열자마자 도망친 것을 보고 깨달았다. 두 명이 속이 안 좋다고 가버렸고 한 명은 멀쩡했다.,26분,,
7,"@azure_kangi
 님에게 보내는 답글",27분,,1
8,"시험이 끝나고 휴식을 취할 생각에 들떠있던 나...
그러나 한가지 간과한 점이 있었다. 2주전 치과예약을 해둔 날짜가 다음날이라는것,,,,,ㆍ",27분,,1
9,퀸자나한테는 이미 쿠쵸라는 존잘키링연하남이 있어서....자나한테 남친으로 무쪼 어떻게 생각해?하고 물어보면 인상 팍쓰고 무쪼?상장폐지잖냐. 되는거임,28분,,
10,반면에 요 아기는 치과까지는 얌전히 잘따라가는데 막상 가서 울것같음,31분,,
11,"@kuku181016
 님에게 보내는 답글",43분,,
12,오늘치과하는곳있네.. 갔다올까...,45분,,
13,"UOMA6WK3

다시금 생각하게 되었고 내 어머니 또한 집에서 쉬셔도 되는 형편인데도 쉬는 것을 마다하시고 치과 의사를 계속하시는 그 열성에 다시 한 번 생각하게 하는 계기가 되었다. 당장 마음 같으면 지금이라도 마티즈를 팔아 버리고 붓고 있는 적금을 해약하여",47분,,
14,싽은 자나자나 견제 지리게 하는데 자나자나는 걍 아무생각없음...당연함. 자나자나한테 무쪼는 걍....,48분,,
15,짝녀랑 썸녀 진짜 붙어있네,49분,,
16,흐으윽 흑흑흑 치과너무무서워요 차라리 혼자 가둬져서 공포영화 10선 강제시청이 낫지,53분,,1
17,"수술, 치과검진, 아무 일정도 없어. 꿈에 끌어들일 여지가 전혀 없다고. 최소한 10시간은 필요해.",54분,,
18,"@gazitofu_helios
 님과 
@inrang_pizza
 님에게 보내는 답글",54분,,
19,?! 이 날에도 치과가 문을 연다고?? 가게에 병원 직원들이 우르르 옴...,54분,,
20,"5D384

나의 애기르 전해 들은 친구들은 세명이 캠핑느낌
쇼핑
재선거
호기심
파주시
작대기아이스
동해후ㄱㅣ
웹툰미리보기
치과
검찰
가랜드
여행일기
요가스타그램",25분,,
21,"앞니 두톨 안 보이는 김에 궁금증 1나
과연 제현이는 유치 빠질 때 울었을 까 안 울었을까
부모님께서 뽑아주셨을까 치과 가서 뽑았을까",26분,4,9
22,"""정말 실례지만..한 가지 여쭤볼 게 있는데요. 혹시 베타신가요?""
채굴팀 사람은 그렇다고 대답했다. 혹시 성별 형질에 따라 치료가 달라지나요? 하고 되묻는 말에 박무현은 그저 어색하게 웃었다. 그건 아닌데 치과 안에 화학테러가 일어난 것 같아서요. 그런 말은 속으로만 했다.",26분,,1
23,학교 다닐 때도 그런 경우를 본 적이 있었다. 너무 잘 나서 남들이 다 피해주는 그런 사람. 신해량도 그런 과겠지. 박무현은 태평하게 생각했다. 그게 아닐지도 모른다는 것은... 오후 예약 환자가 치과 문을 열자마자 도망친 것을 보고 깨달았다. 두 명이 속이 안 좋다고 가버렸고 한 명은 멀쩡했다.,,,
24,짝녀랑 썸녀 진짜 붙어있네,49분,,
25,흐으윽 흑흑흑 치과너무무서워요 차라리 혼자 가둬져서 공포영화 10선 강제시청이 낫지,53분,,1
26,"수술, 치과검진, 아무 일정도 없어. 꿈에 끌어들일 여지가 전혀 없다고. 최소한 10시간은 필요해.",54분,,
27,"@gazitofu_helios
 님과 
@inrang_pizza
 님에게 보내는 답글",54분,,
28,?! 이 날에도 치과가 문을 연다고?? 가게에 병원 직원들이 우르르 옴...,54분,,
29,어제 용감하게 치과에갔다,1시간,,
30,"@cinamoniyo
 님에게 보내는 답글",1시간,,1
31,"ㅋㅋ
ㅋㅋ
지나가면서 막... 수미식당.. 수미치과...
이런... 이름의 수미OO 점이 많은데
볼때마다 그 일 하는 수미생각나서
웃겨죽을거갓애......",1시간,,
32,치과갈 준비 해야해....,1시간,,
33,"조금뻐근합니다~~~ 해노코 난 오열하듯 눈물뽑고잇음 그래서 치과시러행,,",1시간,,
34,나아직도아퍼... 나우울해... 치과가야할거같아,1시간,,1
35,"근데 잠만 ㅊㅣ과를갓다능거지,,  ,,, ?
이가흔들렷다는거지,,
뭐지 ㅠ,,, 덧니 살ㄹㅕ",1시간,,
36,"주체111(2022)년 5월 5일 목요일[로동신문]
[인민사랑의 간곡한 당부]
 지금도 우리 류경치과병원을 찾는 사람들의 모습을 바라볼 때면 못잊을 그날에 경애하는 총비서동지께서 하신 당부가 뜨겁게 되새겨진다.
.....
http://rodong.rep.kp/ko/index.php?strPageID=SF01_02_01&newsID=2022-05-05-0010…",1시간,,
37,"@yuminalebus
 님에게 보내는 답글",1시간,,1
38,"내일 치과 가는 날이네 
가기 싫어 
그치만 돈을 애끼려면 오랄 때 가야겠지",1시간,,
39,치과에서 이뺏으면 남자강아지다!!!!!!!,1시간,,
40,,,,
41,"@gazitofu_helios
 님과 
@inrang_pizza
 님에게 보내는 답글",,,
42,치과갈 준비 해야해....,1시간,,
43,"조금뻐근합니다~~~ 해노코 난 오열하듯 눈물뽑고잇음 그래서 치과시러행,,",1시간,,
44,나아직도아퍼... 나우울해... 치과가야할거같아,1시간,,
45,치과에 누워있는데 햇님은 왜 떠있엌ㅋㅋㅋㅋㅋ 모서리에 햇님 그리는 거 진짜 국룰이짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌ,1시간,,1
46,"ㅠㅠㅠ제목
치과는 싫어요,, 치과는 싫어요,, 치과는 싫어요,, 치과는 싫어요,, 치과는 싫어요,,",1시간,,
47,다녀와서 점심 먹고 치카치카한 다음 치과 가면 되겠군,1시간,,
48,넘 귀엽다 역시 치과는 누구나 싫어하는 듯,1시간,,
49,น่ารักที่สุดทั้งสามโลก สามมิติ โลกคู่ขนานทุกโลกกกก น่ารักแบบสุดๆๆๆ #YOONSANHA #윤산하,1시간,,2
50,"“치과는 싫어요,,” 너무 귀엽다ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ",1시간,,2
51,"제목: 치과는 싫어요,, ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ",1시간,,
52,뭐야 이거 ㅋㅋㅋ치과에서 아프면 손들라고 하는건 멈춰주려는게 아니구 어디가 아픈지 알게위해서라던…의사쌤의 말에 배신감을 느꼈었던 기억이 떠오른다…,1시간,,
53,"이거 앞니 빠진 남우현이야??
그리고 치과 안에 태양은 왜...?
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",1시간,,3
54,오구오구 그랬쩌~~ 토닥토닥 아펐겠당 치과는 무섭징ㅋㅋ 나도인데~~ 귀요운 우혀니일기 잼나닷!!,1시간,,
55,귀여워 ㅠㅠ 나도 가야 하는데 치과  ㅠㅠㅠㅠ,1시간,,
