,본문,날짜,리트윗,하트
0,"1잇몸에고함쳐서기강잡기
2호기롭게치과갔다가기어서올라오기",4월 4일,,
1,"유: 상대방이 우울해하면 자꾸 물량공세하는 거요. 꼭 치과에서 울음 잘 참은 애들한테 주는 반지 같잖아요. 지금은 사탕인 거죠.
박: 어, 아??? 그런가? 그럴 수도 있어요. (나름 유레카)",4월 4일,,8
2,"나 내일아침 치과가는데 잇몸 빵꾸났어
으아",4월 4일,,
3,금요일 아침에 치과 가야된대 엄마가 예약해뒀다는데 살짝 쫄린당… 안 간지 한…3년? 정도되서ㅎㅎ!!,4월 4일,,3
4,그런…! 본래 생을 거듭하면서 한계를 넘어설 수 있다고 생각하는데 말이야 아무래도 치과와 맞서 싸우긴 어려운 편이지 이해했어…,4월 4일,,
5,"@Its_Timmy_T
 님에게 보내는 답글",4월 4일,,1
6,"ㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅜㅜㅜㅜㅠㅜㅠㅜㅜ
충치 치료한지 몇주됐다고 또 충치 생겨서 치과가야댐... 이 튼튼한 사람들 부럽다...",4월 4일,,2
7,"@doll_snowgia
 님에게 보내는 답글",4월 4일,,1
8,"@suga_and_J
 님에게 보내는 답글",4월 4일,,
9,"요새 나쵸먹는애들 영상 좀 봣더니
생각나서...
자매품(?) 피자 먹는 애들도 따라해(?)줘야즤

치과 치료 받고 오자마자 이토록 ㅊ먹는 애도 또 없을거야...",4월 4일,,
10,난 하루가 다르게 달콤해질 거야 내가 얼마나 무서운가 하면.... 이도 썩을 수 있어! 이가 썩으면... 치과를 가야 하지! 하하하! #캐러멜_자트,4월 4일,,
11,은행 9:30부터 15:30까지 영업함 이게 말이 되냐 치과러럼 하루는 야간영업해줘요,4월 4일,,
12,치과병원 자리 http://blog.naver.com/marketarea/222691643309…,4월 4일,,
13,나 오늘 치과 갔는데 충치 개많아서 190만원 나옴,4월 4일,,
14,"@goodboymono
 님에게 보내는 답글",4월 4일,,1
15,치대간 치사키 그 많고 많은 의사중 치과인 이유는 돈을 제일 잘 벌기에...,4월 4일,,1
16,4월 30일 (토요일)에 시간이 넘쳐나서 심심해서 죽어버릴것 같다! 하는 치과 있어?,4월 4일,,
17,"ㅎㅇ요님들... 근황

교정하겠다고 치과에서 생이빨 우지끈 뽑앗는데 4시간동안 피가 안 멎어서 밥을 못 먹음",4월 4일,,6
18,헉 교정기 떨어질거같은데 진짜 조만간 치과 가야지... 사랑니도 빼야되는데 티발ㅠㅠ,4월 4일,,2
19,"@cherry_cokes2
 님에게 보내는 답글",4월 4일,,
20,,,,
21,"@suga_and_J
 님에게 보내는 답글",4월 4일,,
22,"요새 나쵸먹는애들 영상 좀 봣더니
생각나서...
자매품(?) 피자 먹는 애들도 따라해(?)줘야즤

치과 치료 받고 오자마자 이토록 ㅊ먹는 애도 또 없을거야...",4월 4일,,
23,난 하루가 다르게 달콤해질 거야 내가 얼마나 무서운가 하면.... 이도 썩을 수 있어! 이가 썩으면... 치과를 가야 하지! 하하하! #캐러멜_자트,4월 4일,,
24,은행 9:30부터 15:30까지 영업함 이게 말이 되냐 치과러럼 하루는 야간영업해줘요,4월 4일,,
25,,4월 4일,,
26,나 지금 치아 상태 졸라 심각함 치과공포증이 너모 심해서 몇년째 안가봤긔윤,4월 4일,,2
27,치과팔로업가야함ㅜ,4월 4일,,
28,치과 캐릭터가 킹받게 생겼네,4월 4일,1,10
29,"@gmgihyon12
 님에게 보내는 답글",4월 4일,,1
30,주말동안 바람이 많이 차다고 생각은 했다. 그래서인지 오늘 아침 일어났을때부터 감기 초기 증상처럼 컨디션이 안좋았다. 남편이 치과진료로 이른 취침을 한다길래 나도 이때다 싶어 이른 취침을 할 예정. 몸이 안좋을때 쉬고싶은 그순간 쉴수 있다는 건 매번 감사일기에 써야만 할일. ,4월 4일,,1
31,"@nr00236
 님에게 보내는 답글",4월 4일,,
32,"@makey0urday23
 님에게 보내는 답글",4월 4일,,
33,"@nr00236
 님에게 보내는 답글",4월 4일,,
34,"@nr00236
 님에게 보내는 답글",4월 4일,,
35,"@panna_ct_
 님에게 보내는 답글",4월 4일,,
36,"@nr00236
 님에게 보내는 답글",4월 4일,,
37,"@moongmoongoo
 님에게 보내는 답글",4월 4일,,
38,"@nr00236
 님에게 보내는 답글",4월 4일,,2
39,"@full_buck_moon
 님에게 보내는 답글",4월 4일,,1
40,치과랑 안 친해질거야.,4월 4일,,3
41,나 지금 치아 상태 졸라 심각함 치과공포증이 너모 심해서 몇년째 안가봤긔윤,4월 4일,,2
42,치과팔로업가야함ㅜ,4월 4일,,
43,"@oyuuksa
 님에게 보내는 답글",4월 4일,,
44,"@panna_ct_
 님에게 보내는 답글",4월 4일,,
45,내일 치과갈생각에 머리아픔,4월 4일,,
46,"@nr00236
 님에게 보내는 답글",4월 4일,,
47,근데 이거 궁금하다 다들 엉덩이에 이빨나면 어디갈거에요 치과 VS 외과,4월 4일,1,2
48,2월에 상영회로 극장판 처음 봤을때부터 교주님 치열 고른거 보면서 아 치과 가야지 계속 생각했는데 벌써 4월임... 5월 전에 진짜 가야해,4월 4일,,3
49,"자자 다들 주접 멘트를 배워봅시다!!

너 치과에서 일하면 좋을거 같아
널 보면 입을 다물 수 없으니까..

너 혹시 영어 이름 부시야?
내 마음을 조지고 부시니까

나 좋은 생각 났어
니생각

토끼와 거북이 이야기에서 토끼가 늦은 이유 알아? 그게 토끼가 자서 늦은게 아니라 너 보다가 늦은거래!",4월 4일,,2
50,"@bobobdirara
 님에게 보내는 답글",4월 4일,,3
51,치과밖에 안다녀왔는디 너무 피곤하다...,4월 4일,,1
52,"@bakbakbak66
 님에게 보내는 답글",4월 4일,,
53,"모두의 익명 질문을 모집 중!

최근 답변한 질문
● 소율님 치과 자주가시죠?너…
● 소율님!!소율님은 산리오 …
#질문상자 #익명질문모집중",4월 4일,,
54,"너무힘둥러
너무아파
흑흑~흑흑~내일 진짜 일어나자마자 치과에 전화할거아",4월 4일,,
55,치과에서 쓰는 그런 얇고 동그란 칫솔로 상대방 이를 구석구석 닦아 주는 플 하고 싶다.  치석이 이마아아안큼? 더럽구나 너. #펨돔 #멜섭,4월 4일,,4
56,치과도 새로 알아봐야 하는데 좋은 곳 찾기 힘들다 전에 다니던 곳은 엄마랑 마주치는 것도 싫고 내 집주소와 연락처가 노출될 것 같아서 안 가려고,4월 4일,,1
57,"@Uta_Hazn
 님에게 보내는 답글",4월 4일,,
58,"낙서장은 앞니쪽 잇몸이 이에서 떨어지는 재주를 얻었다!
치과! 치과! 당장 치과일정 잡아야 해....!",4월 4일,,1
59,"@yuuubaebae
 님에게 보내는 답글",4월 4일,,1
60,2월에 상영회로 극장판 처음 봤을때부터 교주님 치열 고른거 보면서 아 치과 가야지 계속 생각했는데 벌써 4월임... 5월 전에 진짜 가야해,4월 4일,,3
61,"자자 다들 주접 멘트를 배워봅시다!!

너 치과에서 일하면 좋을거 같아
널 보면 입을 다물 수 없으니까..

너 혹시 영어 이름 부시야?
내 마음을 조지고 부시니까

나 좋은 생각 났어
니생각

토끼와 거북이 이야기에서 토끼가 늦은 이유 알아? 그게 토끼가 자서 늦은게 아니라 너 보다가 늦은거래!",4월 4일,,2
62,"@bobobdirara
 님에게 보내는 답글",4월 4일,,
63,치과때문에 긱사탈출해서 이브 특전시디 로워 ㅠㅠ 들을 준비 하고있었는ㄷㅣ…. 왜 없다고 떠????????? 웨일래,4월 4일,,1
64,밥 먹을때 수갑편 치과편 보면서 긴히ㅈ| 뽕 채우기,4월 4일,,
65,"@Eden304_
 님에게 보내는 답글",4월 4일,,
66,옛날 치과에는 바구니가 있었는데 요즘은 옷걸이랑 가방 넣는 사물함? 옷장이 다 있네,4월 4일,,1
67,내일 또 치과감 울거임,4월 4일,,
68,"@ssfwl_t
 님에게 보내는 답글",4월 4일,,
69,치과 예약하려니까 또 손이 떨리고 두려움,4월 4일,,2
70,갔다가 아이스 커피에 올린 아이스크림에 올린 원두 두 알 초콜릿인 줄 알고 씹었다가 치과에 갈 뻔 했다.,4월 4일,1,10
71,아침부터 치과가서 진료 받고 오십이나 결제한게 얼마나 대단한 일인걸요....ㅠㅠㅠㅠ,4월 4일,,3
72,애인이 치과치료 받아서 킥복싱 못간다고 했다 (야호),4월 4일,1,6
73,"오늘 아침6시부터 일어나서 학교가서 수업 집에 와서 수업 치과 갔다가 수업 그리고 지금 저녁.... 이러고 또 시험공부해야해
하지만 아기를 생각한다면? 이정도는 쉽다 해내야함",4월 4일,,3
74,"내가 오늘 한일이라곤...
치과가서 50긁은것뿐.....
무기력하다..",4월 4일,,1
75,아 마자 나 목요일에 치과간다...,4월 4일,,
76,"치과 오늘 오랜만에 가서 생각해봤는데
치과는... 똑똑한 사람들의.. 극도로 발달된 SM플레이장이 아닐까..",4월 4일,,4
77,ㅇㆍ늘두치과,4월 4일,,
78,치과 갓다왓당,4월 4일,,
79,낼 치과 가려고 했는데 흑흑 치과도 못가,4월 4일,,
80,내일 또 치과감 울거임,4월 4일,,
81,"@ssfwl_t
 님에게 보내는 답글",4월 4일,,
82,치과 예약하려니까 또 손이 떨리고 두려움,4월 4일,,2
83,,4월 4일,,
84,다음주엔 나주리 진짜 피터지게 때려주세요 본편에선 한번도 안맞은 애니깐 정성스럽게 때려주세요 입에서 피 철철 흘릴때까지 패주세요 교정기 때문에 입 찢어져서 덕희랑 손잡고 치과 가도록 개패주세요 개패주세요 개패주세요 개패,4월 4일,2,3
85,치과 전화예약만 되네 알앗다,4월 4일,,
86,치과진료에 칭찬이 필요한 나이,4월 4일,,6
87,모야..? 밥 먹으러 간다면서... 나 왜 치과에서 정기검진함..?,4월 4일,,
88,"여러분 치과는 제때제때.
(이상 3개월째 치과 다니고 있으며 거액의 돈을 날린 어쩌고가...",4월 4일,,
89,하….나 치과 싫어,4월 4일,,
90,치과 왔는데 진료 받다가 잠들 각인데,4월 4일,,2
91,정비소 가기 싫어서 버티는중 하지만 정비소 가면 치과가 1+1이란 말이예요 제가 그렇게 정해버렸단 말이예요 전 아직 사랑니를 보낼 준비가 안됐다구요,4월 4일,,1
92,치과 왓는데 무서운건 모르갯고 졸려!!!!!!!,4월 4일,,
93,혀가 헐엇어용 하고 치과갔는데 아니 이빨에 드릴을 왜 아니 이봐요,4월 4일,,
94,"@if_use_
 님에게 보내는 답글",4월 4일,,
95,"@GHOST9OFFICIAL
 님에게 보내는 답글",4월 4일,,
96,치과 소독하러왔는데 프론트에 아무도 없어잉..,4월 4일,,
97,학원 끝나고 치과 갔다 와야지,4월 4일,,
98,"병원 가는날마다 먹는 샤베콜
그냥 이어폰 쓰고 다니지말라고 오늘도 혼남,,나는 치과보다 이비인후과가 더 무섭다",4월 4일,,
99,"@oesig4
 님에게 보내는 답글",4월 4일,,
100,꿔바로우랑 간식거리 사러 나가자고 윉 꼬시는 칼 알고보니 충치 치료하러 치과 데려간 거였다면 치료 끝난 후 부어 있는 볼 잡고 개삐진 상태로 병원 앞에서 한 발자국도 안 움직이는데 즤믽이 윉졍이 손잡고 질질 끌고 집 갈듯,4월 4일,2,2
101,다음주엔 나주리 진짜 피터지게 때려주세요 본편에선 한번도 안맞은 애니깐 정성스럽게 때려주세요 입에서 피 철철 흘릴때까지 패주세요 교정기 때문에 입 찢어져서 덕희랑 손잡고 치과 가도록 개패주세요 개패주세요 개패주세요 개패,4월 4일,2,3
102,치과 전화예약만 되네 알앗다,4월 4일,,
103,치과진료에 칭찬이 필요한 나이,4월 4일,,6
104,,,,
105,하..혼남 무서워서 치과안가고싶음,4월 4일,,
106,"@1515IGO
 님에게 보내는 답글",4월 4일,,
107,"@harruu0321
 님에게 보내는 답글",4월 4일,,
108,치과공포증 주제로 그리기,4월 4일,,2
109,(저 자그마한 말랑말랑 모찌 코가하루는 머루님께서 그려주셨어요! ) 어떻게든 설탕 화장실 청소하고 치과에서 처방받은 진통제와 저녁약 챙겨 먹었어 물론 텍피데라도 먹었습니다! 코가에게 상으로 뽀뽀 받을 테다 ,4월 4일,,9
110,"@jm_president_1
 님에게 보내는 답글",4월 4일,,
111,꼭... 치과 다녀온 고양이 같아... 볼 퉁퉁...,4월 4일,,
112,"@sosweet_km
 님에게 보내는 답글",4월 4일,,2
113,"제 치과 트라우마
초6 응애때 신경치료 했는데 넘 아파서 울었음
그뒤로 치과를 못 가요",4월 4일,,1
114,단거 너무 먹지 마라...치과간다 그러다,4월 4일,,
115,사랑니.. 하니까 생각나는거.. 나 신경치료 받을때 마취풀린적 있어서..... 그때 이후로 트라우마 생겨서 치과못감........,4월 4일,1,8
116,"@geagulleayo
 님에게 보내는 답글",4월 4일,,
117,"@azure_yoonn
 님에게 보내는 답글",4월 4일,,1
118,"나 내일 치과감 …
가기 싫음…
안과 다음으로 치과가 제일 가기 싫음…",4월 4일,,1
119,"@geagulleayo
 님에게 보내는 답글",4월 4일,,
120,"@1515IGO
 님과 
@Doo_Na1408
 님에게 보내는 답글",4월 4일,,1
121,치과 마지막 검진이어서 오랜만에 칼퇴함 ! 물론 일 싸들고 왔지만 ㅋㅋㅋㅋ 생각 안하고 해도 되는 단순 일이어서 (도장찍기) 있다가 알쓸범잡보면서 해야딩!!!!,4월 4일,,3
122,"나 내일 치과감 …
가기 싫음…
안과 다음으로 치과가 제일 가기 싫음…",4월 4일,,1
123,"@geagulleayo
 님에게 보내는 답글",4월 4일,,
124,갈 때마다 착잡해지는 곳 1위: 치과,4월 4일,,1
125,사랑니가 너무 신경쓰여서 언제 치과 한 번 가야하는데 시간도 의지도 없어서 그냥 뒹굴거리는 중...,4월 4일,,2
126,"한숨쉬는 청문과 슬슬 튈 각 재는 청명이었지만 결국 강제로 치과보내짐
그리고 치과의사 당보 앞에 입벌리고 눕혀진 청명ㅋㅋ
당보가 입 벌리세요 하면
청명이 으어어어 소리밖에 못냄",4월 4일,,2
127,"치과가는 현대 당청 보고싶다
어느날 사탕 아작아작 씹다가 아악- 소리내는 서른살 청명
자연스레 그 앞에 뱉으라고 손 내미는 청문
뱉어낸 사탕 조각에 깨진 이빨이 섞여있는데?",4월 4일,2,6
128,아 오늘 치과다녀왔는대 방금 교정 떨어짐,4월 4일,,
129,[메디리포트] - [치위생사 국시대비] 치과방사선학개론 요점정리 http://bit.ly/16mlWt8 #병원구인구직☞http://medi-talk.co.kr,4월 4일,,
130,"치과갔다왔어!!
어금니가 너무 뾰족해서 잇몸을 찍어가지고 아픈거라고 해서 어금니 갈았어",4월 4일,,
131,"치과 문자받고 생각난건데
대학생때였는데 사랑니가 너무 아픈거야
아픈거 참고있는데 X한테 들킨거야..
X가 디저트집이 생겼다고 가자해서 히히덕 거리면서 따라갔는데 치과더라
그래서 도망갔는데 넘어졌어
무릎잃고 X한테 들려서 치과갔다가 엉엉우는 엔딩으로 끝남
오늘 자기전에 또 생각날듯 시뱅",4월 4일,,7
132,"엄마둘째아들램 때문에
치과에서 극성 동생됨,,
치료받고 와서 자꾸 물어봐 가지고
손잡구 같이 가서 내가 상담내용 듣구 옴 ㅠ
공차 사줫으니가 긴말 안할게 엣헴",4월 4일,,
133,"으아가가가각ㄹㄱ 치과 ㅜㅠㅠㅠㅠㅠ 
여러분들 이빨 깨끗하게 잘 닦으시길...",4월 4일,,
134,동잉이만보면 치과앞에잇는모델분마냥 함박웃음지어..,4월 4일,,
135,아 ㅋㅋ 치과 소견서 떼서 학교에 제출해야 출석으로 인정되는데 내일로 예약 미뤄서 걍 결석처리됨 ㅋ 대1 인생 날먹 가보자긩,4월 4일,,
136,"@fpdl_dh
 님에게 보내는 답글",4월 4일,,1
137,라샤드...... 아 나 치과에 50만은 깨져야할텐데....,4월 4일,,
138,"@geagulleayo
 님에게 보내는 답글",4월 4일,,
139,"@geagulleayo
 님에게 보내는 답글",4월 4일,,
140,갈 때마다 착잡해지는 곳 1위: 치과,4월 4일,,1
141,사랑니가 너무 신경쓰여서 언제 치과 한 번 가야하는데 시간도 의지도 없어서 그냥 뒹굴거리는 중...,4월 4일,,2
142,"한숨쉬는 청문과 슬슬 튈 각 재는 청명이었지만 결국 강제로 치과보내짐
그리고 치과의사 당보 앞에 입벌리고 눕혀진 청명ㅋㅋ
당보가 입 벌리세요 하면
청명이 으어어어 소리밖에 못냄",4월 4일,,2
143,"치과가는 현대 당청 보고싶다
어느날 사탕 아작아작 씹다가 아악- 소리내는 서른살 청명
자연스레 그 앞에 뱉으라고 손 내미는 청문
뱉어낸 사탕 조각에 깨진 이빨이 섞여있는데?",4월 4일,2,
144,치과인데 어째 익숙한 게 보인다,4월 4일,,1
145,"@geagulleayo
 님에게 보내는 답글",4월 4일,,
146,"지난 수요일, #모두가행복한치과 에서 #임플란트 진료를 받으신 장*경님께서 감동의 선물을 주셨습니다
장*경님께 진심으로 감사드립니다*^^*
철저한 사후관리를 통해 오래오래 잘 사용하실 수 있도록 
최선을 다하는 치과가 되겠습니다
모두가 행복한 하루 보내세요:)
.
.
#감사합니다 #행복한치과",4월 4일,,1
147,애기 치과 다녀와써요 잇몸에 나사박고 죽을맛,4월 4일,,
148,치과임 개같,4월 4일,,1
149,"치과 예약했어...'-` 맴이 안좋아,통장도ㅠ",4월 4일,,1
150,"@geagulleayo
 님에게 보내는 답글",4월 4일,,
