,내용,날짜
0,,22.05.05.
1,"딸이 양치할때마다 헛구역질이 심해서 치약을 바뀠어요
예전에 써 봤던 기억이 좋아서 구매하게 됐습니다
다 쓰면 또 사러 올게요",22.05.03.
2,애터미 치약 저렴하게 잘샀고 유명해서 항상 쓰는 제품인데 배송도 빨랏어요,22.05.03.
3,애터미치약 너무 좋아요. 추가구매의사 있어요,22.05.03.
4,배송이 좀 늦긴 했지만 잘 받으셨다고 합니다,22.05.03.
5,입병예방에는 이 치약이 단연 최고예요,22.05.03.
6,가족들이 좋아해서 몇년째 쓰고 있어요,22.05.03.
7,"항상쓰는 치약이에요
개운하고 좋아요",22.05.03.
8,"다른치약 쓰다가 바꿨는데 역시 애터미치약만한게 없네요ㅋㅋ
양치하고나면 너무 개운해서 좋습니다
양도 넉넉해서 새거 한번 개봉하면 디게 오래 쓸것같아요ㅎㅎ",22.05.03.
9,"빠른 배송, 좋은 가격 추천합니다.",22.05.03.
10,애터미 항상 이용하고 있어요,22.05.03.
11,시원하고 좋은 것 같아요.,22.05.03.
12,항상 구매하고있어요 ㅎ,22.05.03.
13,늘사용중인 제품입니다,22.05.03.
14,늘 쓰던거라서 좋아요^^,22.05.03.
15,배송도 빠르고 좋아여,22.05.03.
16,빠른 배송 감사함니다,22.05.03.
17,맛도 좋고 잘 닦여요,22.05.03.
18,"가성비 좋고, 물건도 좋고, 품질도 좋아요",22.05.03.
19,매번쓰는제품이예요 민트향진한치약안쓴지 오래됐네요만족하면서쓰고있어요 프로폴리스가들어가있어서 항균작용이있어서 더좋아요투명한색이구요 작은양으로도충분해요,22.05.02.
20,"늘 이제품만 고집합니다…
써보신분들은 아시겠지만
부드럽고 닦고난후 개운해집니다
아이들도 함께쓰니 너무 좋네요",22.05.02.
21,항상사용하는 제품입니다 시린이에 조아요,22.05.02.
22,맛은 달달한데 마무리감이 상쾌합니다.,22.05.02.
23,아직도 잘 사용 중이에요. 많이 파세요.,22.05.02.
24,"아버지가 매일 쓰시는 치약 주문해드렸어요
이 치약을 쓰시면 입냄새 없이 개운하다 하십니다
최고~!!",22.05.02.
25,늘 쓰는 제품이라 만족합니다.,22.05.02.
26,일반 치약이 훨씬 더 낫네요--,22.05.02.
27,넉넉하게 쓸 수 있겠어요,22.05.02.
28,다시찾게되는치약이네요,22.05.02.
29,저럼하게 잘 샀어요,22.05.02.
30,사용하는 제품입니다 배송도 빠르게 왔습니다,22.05.02.
31,가톨릭 루카 교환 학생 이 사람은 한국 사람,22.05.02.
32,"재주문 했습니다
양도 넉넉하고
개운해서 잘 사용하고 있습니다",22.05.02.
33,감사합니다 배송빠르고 잘 받았습니다,22.05.02.
34,빠르게 도착했네요 제품은 워낙에 만족하고 감사합니다,22.05.01.
35,입속안이 개운하고 텁텁함이없어서 좋습니다.,22.05.01.
36,"잇몸이
안좋았었는데 좋아지는겅 느껴요~",22.05.01.
37,은은하면서 자극적이지 않아서 좋아요,22.05.01.
38,항상쓰던제품 잘쓰고있습니다,22.05.01.
39,총알배송 좋은 제품....,22.05.01.
40,몇년째 이 치약만 사용하게 되네요. 7살 아이도 별로 안맵다고 같이 사용하고 좋아요.,22.05.01.
41,좋와요 빠른배송 감사합니다,22.05.01.
42,"프로폴리스가 윗몸에 좋대서
주문했는데 배송도 빠르고 좋아요!",22.04.30.
43,평소 자극 없는 애터미 치약 즐겨 쓰고 있어요~ 쓰던게 똑 떨어져서 구매했어요~ 역시 좋아요!,22.04.30.
44,역시 깨끗하게 양치가되고 개운해서 좋습니다,22.04.30.
45,늘쓰던거라 아이들이 더 좋아합니다.,22.04.30.
46,쓰던치약이라 구매함 배송 빨랐음,22.04.30.
47,애터미 치약 첨 써봤는데 좋네요~,22.04.30.
48,늘쓰던거ㅎㅎ 싸게구매했어요,22.04.30.
49,저번에 다쓰고 또주문해여,22.04.30.
50,언제나 잘 사용하고있어요,22.04.30.
51,"늘쓰던 치약입니다
좋아요",22.04.30.
52,기존사용 하다가 다시 재사용하고 싶어 구매합니다.,22.04.30.
53,가격 저렴합니다 만족합니다,22.04.30.
54,다 찌그러져서 왔어요ㅜ 그치만 내용물은 안터졌으니 괜찮을듯해요,22.04.29.
55,"프로폴리스 성분이 들어가 잇몸 염증 오기전에 사용하니 효과있네요.
잇몸이 시림감없이 좋아요",22.04.29.
56,애터미 치약 저렴한 가격으로 구매해 항상 잘 쓰고 있읍니다.,22.04.29.
57,매번 쟁여두고 쓰는 제품입니다.유통기한도 넉넉하네요~~^^,22.04.29.
58,상큼하고 개운한 맛이라 양치하기 정말 좋아요,22.04.29.
59,칫솔질후 입안이 상쾌하니 좋은것 같아요.,22.04.29.
60,비오는 와중에 배송은 빨리왔네요ㅋ택배아저씨들이 얼마나 험하게 다뤘는지치약통몰골이 엉망이였어요저렴한 치약도 상자에오는데 비닐봉투에 담아오다니...,22.04.29.
61,잇몸이 한결 피가 덜나는거 같습니다.,22.04.29.
62,"계속 쓰는 제품
게운하고 기분좋와짐",22.04.29.
63,배송빠르고 유통기간도 넉넉합니다,22.04.29.
64,항상쓰늕0품입니다..좋아요,22.04.29.
65,써본제품이라 좋습니다 ㅎ,22.04.29.
66,치약은 에터미만사용해요,22.04.29.
67,되게 상쾌하고 깔끔해요.,22.04.29.
68,화한맛이 좀 강하네요,22.04.29.
69,치약냄새 안나고 매운맛이 안나서 좋네요,22.04.29.
70,"항상 잘 쓰고 있어요
빠른 배송 감사합니다",22.04.29.
71,"재구매 했습니다
용량도 많고
잘사용하고 있습니다
배송도 빠릅니다",22.04.29.
72,좋아 요 ㅎ ㅅ 속ㅇ,22.04.29.
73,빠른 배송 감사합니다 제품도 만족합니다,22.04.29.
74,조아여조아요조아요요,22.04.29.
75,배송 정말 빠르고 제품 기한도 길어서 믿음이 갑니다,22.04.28.
76,꾸준히 사용중입니다 양치후 개운하고 좋아요,22.04.28.
77,"잘닦이 구취도 덜하고,안텁텁해서좋아요",22.04.28.
78,사용하보니까 괜찮아서 재구매했어요.,22.04.28.
79,개운하고 자극적이지 않고 좋아요,22.04.28.
80,좋아요. 저렴한 가격에 잘샀네요,22.04.28.
81,배송이 빠르고 제품이 좋아요!,22.04.28.
82,성분조아서 늘 사용중입니다,22.04.28.
83,잇몸 질환에 도움이 됩니다.,22.04.28.
84,배송이 너무 늦습니다,22.04.28.
85,재구매 희망합니다 ^^,22.04.28.
86,"에터미치약. 칫솔 모두 가성비대비 만족합니다.
벌써 몇년째 애터미 제품만 꼭 사용합니다.",22.04.28.
87,양치시 개운하고 작은 양으로도 양치가 잘 되요,22.04.28.
88,"저렴하게 잘 구매 했어요
빠른 배송 감사합니다",22.04.28.
89,"배송상태가...
택배상자가 다찢어져서왔어요.",22.04.28.
90,입냄새가 안나서나서 좋네요,22.04.28.
91,빠른배송 감사합니다 사진을 깜빡하고 못찍었어요 죄송합니다,22.04.28.
92,"빠른배송 감사해요 애터미치약 좋은건 다 알죠
재구매의사 있어요",22.04.27.
93,다른치약과비교하면 상당히 양치후기분이좋아요,22.04.27.
94,잘쓰고 있어요~ 향이나 맛이 은은해서 좋아요,22.04.27.
95,계속 잘쓰고있어요. 칫솔후 개운하고 좋아요,22.04.27.
96,애터미 치약 너무 좋아요. 항상 애용 합니다,22.04.27.
97,배송도 만족하고 양치후 상쾌해서 좋아요,22.04.27.
98,늘사용하는애터미 입니다 제일 좋아요 ~,22.04.27.
99,아직 써보기 전이지만 좋을 거 같아요,22.04.27.
100,늘 사용한던 제품이라 믿고 씁니다.,22.04.27.
101,늘 쓰던거예요~ 잘 쓰고 있습니다,22.04.27.
102,개운하고 좋습니다 배송빨라요,22.04.27.
103,배송빠르고 유통기간 넉넉해요,22.04.27.
104,언제나 믿고 쓰는 제품입니다,22.04.27.
105,항상쓰던거라 재구매해요,22.04.27.
106,정말좋고땃ㅈ산입니다요,22.04.27.
107,ㅈ애터미 치약 200g x 5개,22.04.27.
108,온가족이 사용합니다.,22.04.27.
109,맵지않고 너무좋아요,22.04.27.
110,배송 빠르고 좋아요 ~,22.04.27.
111,Thank you,22.04.27.
112,양치후 개운해요.화한 느낌 나지않아도 개운합니다,22.04.27.
113,배송 빠른데 가격이 너무 올라요 ㅜㅜ,22.04.27.
114,몇년째 계속 사용하고 있어요..다른 치약을 사용하면 이가 시린데 애터미 치약 사용후에는 시린증상이 없어요.,22.04.27.
115,Z👍👍👍👍👍👍,22.04.27.
116,"자극적이지 않으면서도 양치하고나면 개운해요
선물받아써보고 좋아서 이곳에서 2번째 주문이예요",22.04.26.
117,달달구리 치약 아주 조아요 프로폴리스 성분도 좋구요,22.04.26.
118,포장도 깔끔하고 가격도 착하게 구매했습니다,22.04.26.
119,"항상 쓰는제품이에요
자극적이지 않아 좋아요",22.04.26.
120,달콤하면서 싸한 특유의 맛이 너무 조아요~~,22.04.26.
121,배송 빠르고 좋아요 다음에 또 구입할꺼임!,22.04.26.
122,타 제품 치약보다 괜찮고 느낌도 좋았어요,22.04.26.
123,"맛도향도 나쁘지않고
잘사용 하고 있어요",22.04.26.
124,짜서 먹고싶을 정도로 향이 좋아요 ㅎㅎ,22.04.26.
125,다른거 쓰다가 다시 생각나서 써요 ㅎ,22.04.26.
126,꾸준히 사용 하고 있는 치약 입니다.,22.04.26.
127,애터미치약만 사용하고 있어요~~^^,22.04.26.
128,맨날 사용하던 거여서 샀습니다~,22.04.26.
129,사용후 개운하고 좋네요 재구매,22.04.26.
130,양치후개운함에잘쓰고있어여,22.04.26.
131,좋다고 해서 주문합니다,22.04.26.
132,좋아요 재구매각 입니다,22.04.26.
133,초등학생이 좋아합니다.,22.04.26.
134,"구내염예방에 좋다해서 이제품만 사용중입니다.
아주 만족합니다",22.04.26.
135,집사람이 좋아하는 치약이에요. ^^ 빠른배송 감사합니다.,22.04.26.
136,정말 애터미 치약 강추 강추입니다,22.04.26.
137,저렴하고 좋네요저렴하게 좋은 상품 잘 구매했어요,22.04.26.
138,"배송 엄청 빠릅니다
감사합니다",22.04.26.
139,항상 애용하는 차약이예요. 향도 은은하고 거부감이 없어서 좋아요,22.04.25.
140,치약은 애터미죠...이 제품만 사용하고 있어요..만족합니다,22.04.25.
141,엄마가 이 치약 쓰셔서 대신 주문해드렸어요,22.04.25.
142,자극적이지 않아서 저희가족이 좋아해요.,22.04.25.
143,몇년째 이치약만 쓰고있어요 좋아요,22.04.25.
144,향도 밋도 👍 잘쓰고 있어요,22.04.25.
145,배송도빠르고넘나조아요,22.04.25.
146,배송이 빨라 좋습니다.,22.04.25.
147,항상 사용하는거에요. 이시림 없애주는데 최고에요,22.04.25.
148,"조금 달달한 치약입니다.
구매사용 후 달달하여 다른거 구매했는데 그래도 애터미 라 구매했어요",22.04.25.
149,늘 쓰는거라 재주문했는데 배송 빠르네요,22.04.25.
150,애터미애터미 칫솔은 별루에요,22.04.25.
151,애터미 치약으로 우리가족 모두 충치예방 위해 재구매하는 상품 입니다.,22.04.24.
152,믿고 쓰는 애터미 치약! 순하면서 개운해요,22.04.24.
153,좋아요이도 잘닦이고 상쾌 합니다,22.04.24.
154,늘 쓰고 있어요. 만족합니다,22.04.24.
155,사용하기좋습니다만족해요,22.04.24.
156,만족하게 잘 흐고있습니다,22.04.24.
157,항상 사용하는거라 구입했어요애들이 잘 쓰고 있어요,22.04.24.
158,배송 빠르네요~~이 치약은 처음인데 좋네요 거품잘나고 잘 닦이구요 재구매하러올게요,22.04.24.
159,배송빠르고 좋아요~~쓰던치약이라ㅎㅎ잘쓸게용,22.04.24.
160,항상 애용하는 제품이에요 프로폴리스가 들어가있어서 우리집 구강 지킴이라고 할수있어요,22.04.23.
161,"항상 쓰는 치약이예요 많이 맵지않아
초등학생딸도 같이써요",22.04.23.
162,5년전쯤 써보고 생각나 오랜만에 재구매해봤는데 역시치약은 죽O 이최고..앞으로 재구매는 안할거같아요ㅠ,22.04.23.
163,순한맛 치약입니다. 가격도 저렴하고 너무 좋네요~~,22.04.23.
164,"요 치약만 쓰는데
여기가 제일 저렴하네요~",22.04.23.
165,추천받아서 샀는데 쓰기 좋네요~,22.04.23.
166,쓰던게있어서 아직미사용입니다,22.04.23.
167,아주만족합니다 상쾌한아침,22.04.23.
168,살짝 달아서 양치하고 쫌..,22.04.23.
169,원래쓰던제품 순하고좋음,22.04.23.
170,넘 상쾌하고 잘닦여요,22.04.23.
171,고맙습니다 잘쓸께요,22.04.23.
172,개운해서 좋아요~~~~~,22.04.23.
173,평소에도 계속쓰던거라 싸게잘샀어요ㅋ 근데입냄새가잘안없어지는거같은건 내입이문제인건지 기분탓인지..ㅋㅋㅋ,22.04.22.
174,몇년째 저희가족은 애터미치약만 사용하고 있어요. 개운한 느낌,22.04.22.
175,"저렴하게 잘사서 사용하고있어요
너무 화~한 느낌이없어 좋네요",22.04.22.
176,시골 부모님이 이제품을 쓰셔서 주문해드렸는데 좋아하시네요.,22.04.22.
177,매번 쓰는 제품이에요. 향도 부드럽고 오래 사용해도 좋아요,22.04.22.
178,일반치약보다 더 깔끔하고 좋아요~ 계속 구매예정입니다~,22.04.22.
179,배송은 빠른데 포장에 신경 좀 써 주세요.비닐 포장 속에 제품만 들어 있으니 다 찌그러졌네요.,22.04.22.
180,치약 좋다해서 사봤어요 좋으면 또구매할게요,22.04.22.
181,배송 속도는 보통이고요 상품은 맘에 듭니다.,22.04.22.
182,거품은 잘나는데 썩좋다는 느낌은 안드네요,22.04.22.
183,가성비 최고 치약입니다 재구매했어요,22.04.22.
184,개운하고 향도좋고 잘쓰고있읍니다^^,22.04.22.
185,제품만족하면서 사용하고 있어요^^*,22.04.22.
186,항상쓰던 치약이예요 만족합니다~~,22.04.22.
187,아이도 사용 가능하고 너무 좋아요,22.04.22.
188,너무ㅗ하염모ㅓㅐ추초마마,22.04.22.
189,애터미치약 아주 좋습니다,22.04.22.
190,치약이면서 맛이 좋은 편,22.04.22.
191,늘쓰던 치약이라 좋아요,22.04.22.
192,순해서 좋은거같아요~,22.04.22.
193,시원하고 재구매 각임,22.04.22.
194,깔끔하고 빠른배송 감사합니다,22.04.22.
195,"좋아요좋아요좋아요좋아요좋아요
좋아요좋아요좋아요좋아요좋아요",22.04.22.
196,"치약이 금액이 좀 오른듯하고 비타민은
아직먹기전인데 효과있으면 좋겠어요",22.04.21.
197,"솔이탄탄하니좋네영 어른용만써왓는데
우리애들한동안잘쓰겟어용",22.04.21.
198,치약받고 처음 사용해봤습니다..입안기 개운하고 깔끔한 느낌..아마 계속 사용할 것 같아요.,22.04.21.
199,"살짝 달큼한 느낌
아이들도 사옹하기 좋을거 같아요",22.04.21.
200,아직 사용전이지만 괜찮으면 재구매할께요~,22.04.21.
201,애터미 치약은 워낙 유명하기도 하고 용량도 많은 편이라 좋은거 같아요 잇몸케어에 좋다는데 어느 정도 효과가 있는거 같아요 요즘 치약 종류도 워낙 많은데 이것저것 쓰다가 다시 애터미 치약 쓰게 되는거 같아요,22.04.21.
202,상큼하고 상쾌합니다자극적이지 않고 좋아요.~계속해서 구매 할 생각입니다.,22.04.21.
203,잇몸이 건강해지고 치아가 개운해요,22.04.21.
204,깨끗하게 잘닦이고 상쾌하고 좋아요,22.04.21.
205,저번에 써보고 주문 했는데 좋아요,22.04.21.
206,좋아요 꾸준히 계속 사용하려구요,22.04.21.
207,늘 잘 사용하고 있습니다 굳굳^^,22.04.21.
208,적극적이지 않고 아주 좋네요,22.04.21.
209,배송빠르고 싸게 잘삿어요,22.04.21.
210,배송도 빠르고 저렴하네요,22.04.21.
211,깔끔하고 향이 좋아요.,22.04.21.
212,쓰던거라 잘 쓸께요,22.04.21.
213,잘 산것 같습니다. 사용후 산뜻한 느낌이 좋습니다,22.04.21.
214,원래 이거 쓰다가 다른 치약 잠깐 썼더니 다시 생각나서 돌아왔어요ㅠㅠ 앞으로는 한눈 안팔거에요,22.04.20.
215,맛이 달달해서 양치할 때 기분 좋아요 제가 잇몸이 약한데 얇은 잇몸에 좋대서 사봤어요 사용감이 순합니다,22.04.20.
216,처음 사용할 땐 단맛이 싫었는데 이젠 적응이 됐습니다. 품질 좋고 가격 저렴해서 계속 쓰게 됩니다.,22.04.20.
217,순하고 잘 닦이는 것같아서 종종 사는 제품입니다~^^,22.04.20.
218,애 어른 구분없이 같이 사용할수있어 좋아요~^^,22.04.20.
219,배송 빠르고 사용 기간도 길어서 좋아요,22.04.20.
