,본문,날짜,리트윗,하트
0,"나의 워터픽 세수 트윗을 인용하신 비계님아
혹시 님도 워터픽 첨 쓸 때 세수하셨나요? (궁금)",48분,,
1,,,,
2,"@RA0NJENA
 님에게 보내는 답글",10시간,,
3,"[가성비좋은 구매 워터픽구강세정기]워터픽 클래식 가정용 구강세정기, WP-70K, 써보세요.",10시간,,
4,워터픽 좋습니다 여러분 많이 쓰세요,10시간,,
5,"@RA0NJENA
 님에게 보내는 답글",10시간,,
6,"[가성비좋은 구매 워터픽구강세정기]워터픽 클래식 가정용 구강세정기, WP-70K, 써보세요.",10시간,,
7,"@ISigma21
 님에게 보내는 답글",10시간,,
8,"한 번 시작하면 평생 해야되는 일
때밀기, 식단, 운동, 워터픽",11시간,,1
9,나도 워터픽 처음 샀을때 저랬음 쫄쫄쫄이 아님...처음할때는 체감상 세차장에서 나오는 물의 강도처럼 느껴짐,11시간,,
10,"[소문난 목록 워터픽]워터픽 울트라프로 가정용 구강세정기, WP-660K, 사람들이 왜이렇게 찾는지 알거같네요",11시간,,
11,워터픽 아픈데짜릿해,12시간,,
12,"#농담곰만화번역
워터픽",13시간,"1,786","1,104"
13,"염증도 많이 줄었고 이젠 풀충전된 워터픽으로 제일 강한 단계로 푸카칵해야만 시원함을 느끼는 단계가 되었음 충전한지 좀 되서 물줄기가 살짝 약해진다? 쓰다가 안시원한데..? 하는 생각이 들고 양치 끝나고 바로 충전시킴
여러분 워터픽 쓰세요 완전 개운해요",9시간,,
14,"[고민끝에 선택 제품 샤오미워터픽]샤오미 미지아 휴대용 구강세정기 차아 칫솔 노즐 4개 MEO701 2020년 최신형, 남편도 인정하네요",5월 14일,,
15,"@berrrrrrrry_424
 님에게 보내는 답글",5월 14일,,
16,"@7riday
 님에게 보내는 답글",5월 14일,,
17,"@7riday
 님에게 보내는 답글",5월 14일,,
18,양치 워터픽 치실 다 끝냇는디요ㅜ,5월 13일,,
19,"@linjj_
 님에게 보내는 답글",5월 13일,,1
20,"@ga_mi2
 님에게 보내는 답글",5월 13일,,1
21,"@makemscl
 님에게 보내는 답글",5월 12일,,
22,워터픽 하다가 뱉는 물 색갈이 점점 이상해지더니 이하니까 줄줄,5월 12일,,1
23,아니 워터픽 너무 좋다 미친거아니냐 치실 안 써두 대겟는디 지구 지켜,5월 12일,,2
24,다냠쓰 추천 워터픽 함 갈겨보것서요,5월 12일,,
25,"교정 동지 여러분
교정하기 전에 뭘 준비하면 좋나요
워터픽 .. 교정용 칫솔 치간칫솔 뭐 이런거…",5월 12일,,1
26,워터픽 사고싶다,5월 12일,,
27,"@yu_us030303
 님에게 보내는 답글",5월 11일,,1
28,워터픽! 지금 집은 화장실 넘 좁아서 힘들고 이사가면 바로 사야지,5월 11일,,
29,"[품절주의 샤오미워터픽]샤오미 미지아 휴대용 구강세정기 차아 칫솔 노즐 4개 MEO701 2020년 최신형, 갖고싶어요.",5월 11일,,
30,"[만족스러운 목록 워터픽구강세정기]워터픽 울트라 프로페셔널 구강세정기, WP-670K, 와이프가 인정하네요",5월 11일,,
31,"@Park_mainstreet
 님에게 보내는 답글",5월 11일,,
32,"@sanhodyssey
 님에게 보내는 답글",5월 11일,,1
33,"#농담곰만화번역
워터픽",13시간,"1,786","1,104"
34,"휴대용 가정용 워터픽 이플러스 워터프로 구강세정기 CP-100 CP-200 CP-300, CP-100(화이트) https://link.coupang.com/re/AFFSDP?lptag=AF1369433&subid=Foodoooo&pageKey=5071813387&itemId=6864558456&vendorItemId=74157150280&traceid=V0-153… 파트너스 활동으로 수수료를 받을수 있어요3270",5월 14일,,
35,"[고민끝에 선택 제품 샤오미워터픽]샤오미 미지아 휴대용 구강세정기 차아 칫솔 노즐 4개 MEO701 2020년 최신형, 남편도 인정하네요",5월 14일,,
36,"@berrrrrrrry_424
 님에게 보내는 답글",5월 14일,,
37,"교정 동지 여러분
교정하기 전에 뭘 준비하면 좋나요
워터픽 .. 교정용 칫솔 치간칫솔 뭐 이런거…",5월 12일,,1
38,워터픽 사고싶다,5월 12일,,
39,"@yu_us030303
 님에게 보내는 답글",5월 11일,,1
40,워터픽! 지금 집은 화장실 넘 좁아서 힘들고 이사가면 바로 사야지,5월 11일,,
41,"[품절주의 샤오미워터픽]샤오미 미지아 휴대용 구강세정기 차아 칫솔 노즐 4개 MEO701 2020년 최신형, 갖고싶어요.",5월 11일,,
42,"[만족스러운 목록 워터픽구강세정기]워터픽 울트라 프로페셔널 구강세정기, WP-670K, 와이프가 인정하네요",5월 11일,,
43,"@Park_mainstreet
 님에게 보내는 답글",5월 11일,,
44,"@sanhodyssey
 님에게 보내는 답글",5월 11일,,1
45,"워터픽 울트라프로 가정용 구강세정기, WP-660K

구매링크↓↓↓
https://tinyurl.com/3aru4jvp

파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",5월 11일,,
46,"워터픽 클래식 가정용 구강세정기, WP-70K

구매링크↓↓↓
https://tinyurl.com/ywb24hvf

파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",5월 11일,,
47,"스팀다리미 스팀이 안 나와서 버튼 오래 누르기 물 가득 채우기 별 짓 다 하다 그냥 워터픽으로 물이 들어가는 곳과 스팀 나오는 구멍을 세척했다.
좀 푸쉬식 하더니 다시 스팀 나옴.
안 쓴지 좀 되었더니 물때라도 끼었었나 봄.",5월 10일,,
48,"잇몸에 계속 염증이 생겨,
치과에서 적극 권유한 워터픽 주문...",5월 10일,,
49,"@dpfrdgg
 님에게 보내는 답글",5월 10일,,
50,"[요즘대세 선택 샤오미워터픽]샤오미 미지아 휴대용 구강세정기 차아 칫솔 노즐 4개 MEO701 2020년 최신형, 신뢰가 가네요",5월 10일,,
51,"다들 양치질 어떻게 하세용?

저는 보통
워터픽~>칫솔질~>어금니 칫솔로 칫솔질~>헹구기

하는디 꽃히면 여기에 치실 추가해요 인용이나 멘션으로 양치질 알려주쉐이",5월 9일,,1
52,"@yunheiii_
 님에게 보내는 답글",5월 9일,,
53,"@makemscl
 님에게 보내는 답글",,,
54,"워터픽.... 사기로 했다 안되겠어 나의 칫솔질 너무 힘듬..,.",5월 9일,,1
