,본문,날짜,리트윗,하트
0,"@NA_wa9wa9_CHO
 @ibclviinpk
  님, 다른 사람 2명에게 보내는 답글",12분,,
1,,,,
2,김태ri 노식인데도  보다보면 즐겁고 잇몸이만개하고,31분,,1
3,말랑 잇몸 존나아파욤,31분,,
4,"@chihilo_ju
 님에게 보내는 답글",33분,,
5,"요즘 잇몸 상태가 안좋아서 그런가
원래도 딱딱한거 잘 못먹지만 요즘들어 턱이 아파서 음식을 오래 못씹겠다..
배불러서 못먹는게 아니라 턱이 아파서 못먹는 상황 발생..",36분,,3
6,"@sam_gamja
 님에게 보내는 답글",39분,,
7,요즘 인스타 올라오는 영상들 그냥 날 잇몸 만개하게 만들어 엄마를 이렇게 추하게 웃게 만들지 말어라.,41분,,
8,"아씨개짜증나
잇몸만개햇어
나 이런여자야?
나 이런여자엿던거야?",44분,,
9,마스크 있어서 잇몸 마르려던거 콧김으로 중화시킴 개조아,45분,,3
10,"@chihilo_ju
 님과 
@soraring_0202
 님에게 보내는 답글",47분,,
11,"@soraring_0202
 님에게 보내는 답글",48분,,
12,"@chihilo_ju
 님에게 보내는 답글",50분,,
13,"@soraring_0202
 님에게 보내는 답글",52분,,
14,"'김건희에 잇몸웃음' 윤호중, 尹대통령에 ""이재명 죽이려 해선 안돼"" http://m.newspic.kr/view.html?nid=2022051414070130804&pn=488&cp=K8cTT66w&utm_medium=affiliate&utm_campaign=2022051414070130804&utm_source=np220316K8cTT66w… nnWjr",55분,,
15,"아미친
벌써부터 사랑니가 발작을 일으키나
위쪽이빨이 너무 아파서 눌러보니깐 잇몸이 원인이엿네
아아악ㄱ",59분,,1
16,"모두의 익명 질문을 모집 중!

최근 답변한 질문
● 작가님, 2022년 일정은 …
● 마카롱이 잇몸과 치아 같아요
● 선생님 미하요한 그려주시는 …
● 혹시 커미션은 안 받으시나요…
#질문상자 #익명질문모집중",1시간,,
17,"@Y8TAKA_
 님에게 보내는 답글",1시간,,
18,"@rj_dorat9124
 님에게 보내는 답글",1시간,,1
19,ㅠㅜㅠㅜㅠㅜㅜㅜㅜㅜㅜ진심 잇몸 만개했어요... 사토미 곤히 자는 표정도 너무 예쁘고 ㅠ 쿄지 표정도 넘 다정하고 좋아요...특히 팔 뻗은 게 섹시함.....,1시간,,1
20,,,,
21,"'김건희에 잇몸웃음' 윤호중, 尹대통령에 ""이재명 죽이려 해선 안돼"" http://m.newspic.kr/view.html?nid=2022051414070130804&pn=488&cp=K8cTT66w&utm_medium=affiliate&utm_campaign=2022051414070130804&utm_source=np220316K8cTT66w… nnWjr",55분,,
22,"아미친
벌써부터 사랑니가 발작을 일으키나
위쪽이빨이 너무 아파서 눌러보니깐 잇몸이 원인이엿네
아아악ㄱ",59분,,1
23,"모두의 익명 질문을 모집 중!

최근 답변한 질문
● 작가님, 2022년 일정은 …
● 마카롱이 잇몸과 치아 같아요
● 선생님 미하요한 그려주시는 …
● 혹시 커미션은 안 받으시나요…
#질문상자 #익명질문모집중",1시간,,
24,"심장박동으로 심장쪽이 아파
귀에서 두근거려 머리에서 두근거려
발목부분도 두근거려
눈은 따갑고 코는 간지럽고
혀는 쓰라리고 목구멍엔 물집?같은 게 나서 뻘겋고 잇몸도 부어서 볼이 쓰라리고",2시간,,
25,근데 지금 진짜 잇몸 야구단 상태라 어떡하지 다들 아프지마라 다치지마라,2시간,,
26,잇몸이 욱신욱신,2시간,,
27,"@bok_lov
 님에게 보내는 답글",2시간,,
28,아이씨 잇몸 말라ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2시간,,4
29,"@L0V3ISJAH4E
 님에게 보내는 답글",2시간,,
30,"@mumu_DLC
 님에게 보내는 답글",2시간,,
31,뻥 안치고 집에 너덜너덜한채로 귀가해서 제일 위에 잇는 위버스알림 들어가자마자 잇몸미소 만개한채로 에너지 링거 블투 송신 받음..,2시간,,1
