,본문,날짜,리트윗,하트
0,5주간.. 그 지옥 같았던 잇몸 치료가 드디어 끝났다..,1시간,,
1,잇몸치료 뭔가 까드득 으드득 소리는 존나들리는데 뭘하는건지 잘모르겟네....,23시간,,
2,아 잇몸 치료 하러 센텀 가야된다..,5월 7일,,1
3,"오늘부로 잇몸치료 3회 끝났는데…와 진짜…
앞잇몸에 마취하는건 진짜 조나 아프다
하아아",5월 7일,,
4,"님들아 양치합시다
잇몸치료비 비싸다
이걸 어떻게 알았냐면 저도 알고싶지 않았는데",5월 5일,,1
5,"얼른 잇몸치료끝나면 쿠키 쪼코
머글거양!!!",5월 5일,,7
6,"5/3 화
치과 우측 잇몸 치료 처방전 제외 31100 원 
오징어볶음 달걀 추가, 부타동
천재 아냐? 이거밖에 안 먹었어. 이대로 10년만 하면 45킬로다!",5월 5일,,3
7,아니 근데 건강검진에 치아는 왜 들어가 있는거여? 지네가 나중에 공짜로 틀니 해줄것도 아니잖어??? 다른 치과에서 잇몸치료 하고 있을 수도있지!!,5월 4일,,
8,ㅎ ㅏ... 그냥 잇몸치료 안 한다고 예약 취소하까...? 너무 아프고 무서워......... 굳이 가야한다면 어린이 치과를 가야할 것 같애,5월 4일,,1
9,나 살면서 건강검진 제외하고 치과 딱 세 번 가봤는데 처음엔 사랑니 나서 두번째는 그 사랑니 다 자라고 염증나서 세번째가 지금이야..... 근데 스케일링 해보니까 염증때문에 잇몸치료 받아야겠대ㅠ........,5월 4일,,1
10,"느네들은 잊지말고 6개월에 한번씩
잇몸치료 꼭 받아라",5월 4일,1,1
11,오늘도 치과 잇몸치료 받으러 가야 ,5월 3일,,1
12,"왜 신나써여.
잇몸치료 오늘 안받아서여.",5월 3일,,
13,잇몸치료 이제 한번 남았다... 윗쪽 하는데 마취부터 넘 아팠음.. 이제 치아 관리 잘할게여...,5월 3일,,
14,잇몸치료의 기초단계는 스케일링입니다. 그리고 환자 스스로 하는 구강위생관리만큼 중요한 것은 없습니다. 철저한 자가위생관리 만으로도 잇몸치료의 필요성과 정도를 현저히 줄일 수 있습니다. 구강위생관리 교육은 다니시는 치과에서 받으세요!,5월 2일,,1
15,"치과 치료 받고 왔다.
잇몸 치료를 해야한다고 마취까지 했다.
입술 한쪽에 감각이 없다.
""엉제브터 방먹을숭 잉써용?""",4월 30일,,
16,"@leavantain
 님에게 보내는 답글",4월 30일,,1
