,본문,날짜,리트윗,하트
0,씨발 제가 치과 검진 땜에 영화 못보러 가는 사람처럼 보이세요? 쾃시,4월 24일,,3
1,"내일 치과 예약이 있어서 먼저 자러갈께요 
다들 좋은밤 되세요 ",4월 24일,,5
2,"레이저(LASER)는 치과 치료에 있어서 많은 도움을 줄 수 있지만, 응용일 뿐, 그것만 단독으로 이용한 치료는 아직 한계가 있습니다. 주요 작용은 살균, 염증완화, 치유촉진, 지혈, 조직절단 등입니다. 저 역시 개인적으로 많이 활용합니다.",4월 24일,,
3,내일은 청소하고 치과에 가자. 물 마시는 습관 만들자.,4월 24일,,
4,"#살면서_아프거나_다쳐본_경험 

골절 : X
수술 : X
코피 : O
독감 : X
장염 : O
화상 : O
식중독 : X
위염 : O
링거 : O
폐렴 : X
마취 : 치과 마취도 마취라면 O
깁스 : O
장기입원 : X
호흡곤란 : O
근육파열 : X",4월 24일,,
5,치과에 간후 그대로 학원강사 알바 가서 가르쳐보니 th로 되어있다는거 알았었다 ㅋㅋㅋ,4월 24일,,
6,"치과 가기
피부과 가기
안과 가기
생크림 사오기",4월 24일,,
7,"내일 할 일 

 대놓고 학교 빠지기
 치과가서 교정기 제거 ( 5시 30분 )
 시험범위 확인
 정치와법 / 동아시아사 중 택 1 공부
 문학 프린트 풀기",4월 24일,,3
8,내일 치과갔다가 올영가서 쉐딩사와야지….후,4월 24일,,2
9,난 하루가 다르게 달콤해질 거야 내가 얼마나 무서운가 하면.... 이도 썩을 수 있어! 이가 썩으면... 치과를 가야 하지! 하하하! #캐러멜_자트,4월 24일,,
10,"#살면서_아프거나_다쳐본_경험

골절 : 
수술 : 
코피 : 
독감 : 
장염 : 
화상 : 
식중독 : 
위염 : 
링거 : 
폐렴 : 
마취 :  치과에서 이 뺄때
깁스 : 
장기입원 :
호흡곤란 : 
근육파열 : ",4월 24일,,
11,"골절 : ㄴ
수술 : ㅇ
코피 : ㄴ
독감 : ㅇ
장염 : ㄴ
화상 : ㄴ
식중독 : ㄴ
위염 : ㄴ
링거 : ㄴ
폐렴 : ㄴ
마취 : 아마 ㅇ
깁스 : ㄴ
장기입원 : ㄴ
호흡곤란 : ㄴ
근육파열 : ㄴ

수술, 독감 딱 한 번 마취는... 치과도 포함인가?",4월 24일,,
12,"#살면서_아프거나_다쳐본_경험

골절 : 
수술 : 
코피 :  자고 일어났더니 코피남;
독감 : 
장염 : 
화상 : 
식중독 : 
위염 : 
링거 : 
폐렴 : 
마취 :  치과에서 이 뺄때...
깁스 : 
장기입원 :
호흡곤란 : 
근육파열 : 

본인 병원밥 안먹어봄",4월 24일,,
13,저 오늘 훠궈 먹으러 가는데 병원 이름이 H 에이치 인 치과 봤어요!!!저 이거 보고 앙스타 에이치가 생각나서 찍어봤어요,4월 24일,,1
14,"#살면서_아프거나_다쳐본_경험
골절 : ㄴ
수술 : ㄴ
코피 : 0
독감 : 0
장염 : ㄴ
화상 : 손인데 어디인진기억안남
식중독 : ㄴ
위염 : ㄴ
링거 : ㅇ
폐렴 : ㄴ
마취 : 치과에서 몇번
깁스 : ㄴ
장기입원 : ㅇ
호흡곤란 : ㄴ
근육파열 : ㄴ",4월 24일,,
