,본문,날짜,리트윗,하트
0,,,,
1,내 통장 잔고 538원~!~! 치과 비용은 왜 이렇게 비싼가요?,4월 24일,,1
2,"@KaDe_892
 님에게 보내는 답글",,,
3,"김첨지네 완전 오늘 아침부터 친절한 사람들 많아서 기분이 좋더라니
치과비용으로 60ㅋㅋㅋㅋㅋ",4월 15일,,3
4,이거 기아타이거즈가 팬들한테 치과비용 다 줘야하는거 아니냐? 일단 나만 해도 이 존나 박박 갈고 있는데,4월 14일,,3
5,"@SadijqwCkm1ksad
 님에게 보내는 답글",4월 14일,,
6,"첼과 민성이 (성애 X 걍… 서로를 고양이와 집사 정도로 여기는)
민성이가 카드 주면

[Web 발신]
신광은행 승인
GS25 편의점
168,950원
잔액 @@@,@@@,@@@원

대체 편의점에서 뭘 사먹은 건데?
사탕이랑, 초콜릿이랑…… 이러라고 주신 거 아니었나요?
잔액은 다 네 치과 비용으로 나가겠다",4월 12일,4,2
7,치과비용이 제일 무서움,4월 12일,,1
8,"@TKMY_HON_00
 님에게 보내는 답글",4월 12일,,1
9,"@s1ngitloud
 님에게 보내는 답글",4월 11일,,
10,"야 아이패드 에어 값이 치과 비용;;;
보험들기ㅜ잘햤다;;",4월 11일,,
11,"@Hyun_Myee
 님에게 보내는 답글",4월 10일,,1
12,"존나 야비한게 지보다 나이많은 사원님들한텐 막 웃으면서 잘해주고 나는 팀에 막내고 유일한 20대고 자기랑 10살 차이 나니까 하대해도 된다고 생각하는건지. 마음같아선 당장 때려치고싶은데 계속 치과비용때문에 거지같아도 참는다
그걸 넘어서 제발 해고 당하지않기를 매일 비는 내가 너무 비참해",4월 10일,,
13,치과비용진짜끔찍해,4월 9일,,1
14,"@jaejusul
 님에게 보내는 답글",4월 9일,,
15,"@kinkingungun
 님에게 보내는 답글",4월 8일,,
16,아…. 오늘 갑자기 어이없게 이빨에 금이가서 급한대로 일정 좀 마무리하면 한국에 다녀올듯 싶다 ㅠㅠㅠ 이게 무슨일이야…. 일단 난 지금 학교 보험 만료 + 여기 치과 비용 엄청남 이라 한국에 가서 치료받는 비용 + 비행기값해도 후자가 더 쌈….,4월 6일,,8
17,치과비용진짜무서워,4월 5일,,
18,커버가 안되잖아...거창한거말하는게 아님 친구들이랑 떡볶이먹으러가는거 고민해야되고 학업이 부족해서 인강이라도 듣고싶은데 안되고 이가 아픈데 치과비용 비싸니까 참고 이런걸말하는거임...,4월 5일,,
19,"@Doo_Na1408
 님과 
@11014_ito
 님에게 보내는 답글",4월 5일,,2
20,"@SadijqwCkm1ksad
 님에게 보내는 답글",4월 14일,,
21,"첼과 민성이 (성애 X 걍… 서로를 고양이와 집사 정도로 여기는)
민성이가 카드 주면

[Web 발신]
신광은행 승인
GS25 편의점
168,950원
잔액 @@@,@@@,@@@원

대체 편의점에서 뭘 사먹은 건데?
사탕이랑, 초콜릿이랑…… 이러라고 주신 거 아니었나요?
잔액은 다 네 치과 비용으로 나가겠다",4월 12일,4,2
22,치과비용이 제일 무서움,4월 12일,,1
23,"@TKMY_HON_00
 님에게 보내는 답글",4월 12일,,1
24,일도 일인데 어금니 자꾸 시큰거려서 집중안되고 치과비용계산중이야..,4월 3일,,2
25,"@MM_OoHanjin
 님에게 보내는 답글",4월 2일,,
26,"대충 서치 해봤는데 메인보드 안 나가면 세척비용으로 13만원…시발…
메인보드 나가면 80만원이라는데 시벨…
작년에 산 제품인데 시벨…
13만…^^ 이번달도 리디 충전은 건너갔네 다음달에 할까…?ㅎ
(다음주에 치과비용 160만원 나가야하는 인간",4월 2일,,
27,행복이 별거여 ~? 일케 누워서 홈쇼핑 배기바지 3종 기대없이 주문하고 낮술 캔 하나 까믄서 캐나다 치과비용 계산하는 이런 개 행복 ㅋㅋㅋㅋㅋㅋㅋㅋ,4월 2일,,
28,나 쫌이따 카드로 거금 긁어야해 이게 새 아이폰이나 예쁜 지갑같은게 아니라 치과 비용이라니 세상이 왜 이모양이람 ㅜ,4월 2일,,3
29,사랑니 4개와 충치로 치과비용 펀치에 맞은 고양이를 쓰담해줘..,4월 2일,,
30,"@rock_ham_rollll
 님에게 보내는 답글",4월 1일,,
31,만우절은 됐고..내 치과비용이 쓰리다..아프다..,4월 1일,,2
32,내가 턱이 좁아 아랫니 치열이 엄청 삐뚤빼뚤해서 양치를 잘해도 치석이 잘생김.특히 아래앞니가 거의 v자로 돼있어서 양치해도 이물질제거가 쉽지않아 워터픽같은걸 써야하나 생각중..근데 방금 물마시다 갑자기 치석이 떨어져나옴ㅋㅋㅋ뭐짘ㅋㅋ치과비용 절약됨ㅋㅋㅋㅋ,4월 1일,,
33,"물어보는 이유가 따로 있는 거겠쥐? 
치과 비용이 비싸서...?!?!?
뭐지...?!?!?!?!
한번도 이런 질문 안하셨는데 신방뿡방",3월 29일,,1
34,치과 비용 무서운 줄 모르고…….,3월 27일,7,20
35,"나폴리탄 고등학교 되는 거 아니냐고 

1. NPIUS 외국인학교는 세계 최고의 치과 보건시설을 자랑합니다 아래는 원만한 학교생활을 위해 숙지해야할 내용입니다
2. 12학년 가반에서 키 193의 남성을 발견한다면 당장 그 자리를 벗어나십시오 이때 발생하는 치과 비용은 책임지지 않습니다",3월 27일,,2
36,아 사랑니 너무 아프다 이빨도 썩었네...치과비용 어마어마하겠네...,3월 26일,,1
37,"@minwoon
 @qwer003376
  님, 다른 사람 6명에게 보내는 답글",3월 26일,,3
38,"@JrNr__
 님에게 보내는 답글",3월 24일,,
39,"아저시 거기 치과 비용이얼만데 ...
이빨을 소중히 하도록해.....",3월 24일,,2
40,행복이 별거여 ~? 일케 누워서 홈쇼핑 배기바지 3종 기대없이 주문하고 낮술 캔 하나 까믄서 캐나다 치과비용 계산하는 이런 개 행복 ㅋㅋㅋㅋㅋㅋㅋㅋ,4월 2일,,
41,나 쫌이따 카드로 거금 긁어야해 이게 새 아이폰이나 예쁜 지갑같은게 아니라 치과 비용이라니 세상이 왜 이모양이람 ㅜ,4월 2일,,3
42,사랑니 4개와 충치로 치과비용 펀치에 맞은 고양이를 쓰담해줘..,4월 2일,,
43,"@rock_ham_rollll
 님에게 보내는 답글",4월 1일,,
44,만우절은 됐고..내 치과비용이 쓰리다..아프다..,,,
45,"@7unhui_moon
 님에게 보내는 답글",3월 21일,,
46,"@Ngoc_4615
 님에게 보내는 답글",3월 21일,,
47,"@010101000I
 님에게 보내는 답글",3월 20일,,
48,"긴토키 양치 하는데 자꾸 졸아서 결국
-야 아 해봐
-아...
치카치카 직접 해주심
-너 치과비용이 얼마나 비싼줄 알아?
-우응,,,
-이~
-이~
-바보는 지면서
킥킥 거리면서 가글까지 시키고 자기 침대에 긴토키 재우는 히지쌤 
쇼파에 누워서 귀엽네 생각하고 잠드는데 그거 무슨 감정인지 모른다",3월 19일,,21
49,치과비용 무료래 나도 가고싶다,3월 19일,,
50,치과비용 9만원나오고 멘탈깨졋는데 여기서 크라운이랑 신경치료까지 해야할거같다는 얘기듣고 아방하게 주저앉앗음,3월 18일,,2
51,살 떨리는 치과비용,3월 18일,,3
52,하 돈도 걱정이네 안그래도  내 치과비용 100...에 어제  빛나 검진비 140만원....으로 이미 사람+개 합해서 이번달 의료비 240만원 쓰는데 항암하면 또 한 100나가고  ㅎㅎ ... 힘들겠다  그래도 어쩌겠냐 인간이 견뎌야지,3월 17일,,1
53,치과비용이 생각했던것보다 덜나왔는디 뭐가어케된거지…. 뭐 하나 빼먹고 그러신거 아니겠지…?,3월 17일,,2
54,"어 ㅋㅋ
나 지금 닐님 치과 비용듣고 손달달...ㅋㅋ.ㅋ.ㅋㅋㅋㅋㅋ ㅋ  ㅋ ㅋ ㅋㅋㅋ
나 내일 치과가는데...",3월 17일,,1
55,다들 기웃거리면서 어바등 보러 간다 이렇게 모두 치과비용을 절약할수 잇게 됏어,3월 16일,1,1
56,"@Moodyismoody
 님에게 보내는 답글",3월 16일,,2
57,고민중이다 치과 비용 이번달에 90내고 끝낼지 다음달에 마저 낼지....,3월 15일,,
58,"@ml_0712
 님에게 보내는 답글",3월 15일,,
59,"한국은 가지 않기로 결정했다.
치과비용 4000불보다 비용이 더 들것같고 나 혼자 애둘데리고 가면 개빡세고 한국가도 우리를 반겨 줄 사람이 없다.",3월 15일,,1
60,마흔 줄 앞두고 재떨이도 씹어 묵을 나이라고 칭찬해 줘서 고맙네. 욕 안 섞고 돌려까는 방법에 귀재라서 그런가. 치과 비용은 황시목 이름으로 청구하면 되지요.,3월 23일,,
61,"지아아버님 아무리 그래도 전문적으로 뺀게 아니니까 어떻게 치과비용 드리겠다고 싹 싹 빌어
은한이 아버님 애들이 뭐 이러면서 크는거죠
하다가도 애 걱정은 되니까
일단 명함은 받아감",3월 22일,,7
62,나 여름에 수중촬 가고 싶은데 치과... 비용과 수중촬 비용 전부 감당 가능..???,,,
63,"얘들아 오늘 치과비용 78만원인데
다들 어떻게 생각해",3월 15일,,
64,"@imMonatmai
 님에게 보내는 답글",3월 14일,,
65,"가계부 쓰는 중

나: (오... 와이프 치과 비용이 안 나가서 다음달은 역대급 흑자가 나올지도 모르겠군! 올레!)

30분 후 문자 : 응 포토샵 1년 정기 결제~

ㅅㅂ",3월 13일,,
66,"우리집 재정 안 좋은 거 아는데 어떻게 엄마한테 안경 바꿔달라허냐,, 치과비용도 내가 결국 보태긴 했어도 절반은 엄마가 냈는 걸 ㅠ",3월 13일,,1
67,역시 디씨를 고소해야댐. 비슷한 타입 둘을 냅다 왜 붙여두냐고 나같은 사람은 그거 극장에서 보다가 죽어 나 진짜 3차 뛰다가 기절 안하고 끝까지 보려고 주먹 딱 쥐고 턱주가리 힘빡주다가 어금니 부서지는 줄 알앗잔니 치과비용청구해야대 진짜,3월 12일,,
68,"진심 치과비용 레전드야 띠발
레진으로 한다? 걍,,, 엿돼",3월 12일,,1
69,"@Official_hwaye
 님에게 보내는 답글",3월 11일,,
70,이 뿌러져서 치과갔다와써 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 개무서워 개아파 ㅜㅠㅠㅠㅠㅠ 기부공구에 쓸 돈이 치과비용으로 날아간다.....,3월 11일,,
71,"@rangboys
 님에게 보내는 답글",3월 11일,,
72,시발 치과 비용너무 비싸서 자주 못갔는데 당장달려가야겠다 앞으로는 그냥 집세값나올듯 샹,3월 10일,,
73,나 지금도 임플란트하고 교정하고 하느라고 치과비용으로 돈 너무 많이 나가서 괴로운데 의료 민영화요? 응 죽을게ㅅㅂ,3월 10일,,
74,"근데
이거 씹기 전에
내 치아가 먼저 다 뿌러질듯
치과 비용 청구서는
국민의 힘 사무실로 보내면 될까요~?",3월 9일,,3
75,하늘 높은 줄 모르고 치솟을 치료제 가격과 재활 비용과 치과 비용을 전부 망설임 없이 감당할 수 있어…?,3월 8일,1,1
76,진교수님..네네..저 치과비용 24만원 나왔어요..네네...콜라 줄일게요...네네...,3월 8일,,1
77,인간적으로 치과 비용 넘 비쌈,3월 7일,,4
78,"@LoviasXIV
 님과 
@nokahn_ff14
 님에게 보내는 답글",3월 7일,,
79,너무달다. 충치진료받고 치과비용 청구하고말것이다.,3월 7일,1,3
80,"가계부 쓰는 중

나: (오... 와이프 치과 비용이 안 나가서 다음달은 역대급 흑자가 나올지도 모르겠군! 올레!)

30분 후 문자 : 응 포토샵 1년 정기 결제~

ㅅㅂ",3월 13일,,
81,"우리집 재정 안 좋은 거 아는데 어떻게 엄마한테 안경 바꿔달라허냐,, 치과비용도 내가 결국 보태긴 했어도 절반은 엄마가 냈는 걸 ㅠ",3월 13일,,1
82,역시 디씨를 고소해야댐. 비슷한 타입 둘을 냅다 왜 붙여두냐고 나같은 사람은 그거 극장에서 보다가 죽어 나 진짜 3차 뛰다가 기절 안하고 끝까지 보려고 주먹 딱 쥐고 턱주가리 힘빡주다가 어금니 부서지는 줄 알앗잔니 치과비용청구해야대 진짜,3월 12일,,
83,"진심 치과비용 레전드야 띠발
레진으로 한다? 걍,,, 엿돼",3월 12일,,
84,"ㄱㅇㄱ 좋아해주셔서 제가 더 행복해요 ( ˘༥˘  ) 
하지만••• 익명임 치아는 오복 중에 하나니까 소중하게 여겨주세요. 
제가 갑자기 왜 다큐 찍냐면 
치과 비용으로 300이상…

다음은 질문 상자에",3월 2일,,
85,"@bbangshu
 님에게 보내는 답글",3월 1일,,1
86,"@245tag
 님에게 보내는 답글",3월 1일,,
87,뉴이스튜 오빠들 저는 이제 치과비용이 무서워서 이와중에 양치하는 어른으로 자랐어요,3월 1일,,2
88,"@serv45guard
 님에게 보내는 답글",2월 28일,,
89,연말정산 환급금으로 일단 1차 치과비용 내기로 맘먹음 ㅜ치과는 무조건 빨리빨리 흑 ㅜ,2월 28일,,2
90,"정확하진 않으나 체감상 치과 비용이

충치가 겉의 법랑질에 생긴 걸 발견: 레진으로 때우는 데에 보통 10~30만원 정도 들어감
치수까지 몽땅 썩은 것을 나중에 발견: 임플란트 100만원 시작(...)

저도 다행히 임플란트 단계는 아니라서 군소리 않고 열심히 치료중입니다 지금 발견한 게 어디냐",2월 28일,,5
