,본문,날짜,리트윗,하트
0,,,,
1,"모두의 익명 질문을 모집 중!

최근 답변한 질문
● 잘지내구 있어~? 나중에 언…
● 우리 언제 뭉칠 수 잇는고야…
● 와우 오늘부터 저의 슈스데 …
● 데이데이님 저번에 치아교정 …
#질문상자 #익명질문모집중",,,
2,긍데 선생님들 웃을 때 잇몸 보이는 거 이거 치아 교정으로도 고칠 수 잇어여?!!난 윤기처럼 이뿌게 보이진 않아서 수술까지 생각 중인데 치과에선 교정 다시 하면 가능하다고 해가지고ㅠㅠㅠㅠㅠ,5월 4일,,
3,치아교정 고무줄 하루 안끼웠다고 이빨 이동하나봐 겁나 아프네..,5월 4일,,
4,"@Stv123_y
 님에게 보내는 답글",5월 4일,,2
5,"치아교정 마치고 교정기 1년째 끼는데, 까먹고 한 이틀 안끼다가 끼니까 정말 아픔
1년이 지났는도 치아 원래 복원력은 여전히 강한듯;
이래서 많이들 치아교정 실패하는듯",5월 4일,,
6,"@hongoack
 님에게 보내는 답글",5월 4일,,
7,"치아교정 웬만하면 하지말라는거 정말로요..
저도 심한 부정교합, 치아 전체가 많이 무너져있었다가 치아교정 끝내고 사람답게살기 되어서 나름 만족하긴 하는데 심각하게 무너져있는 치아 아닌데 그냥 교정시작했다가 고통받는 분이 생각보다 꽤.. 많더라고요..^_^,,",5월 4일,1,6
8,긍데 선생님들 웃을 때 잇몸 보이는 거 이거 치아 교정으로도 고칠 수 잇어여?!!난 윤기처럼 이뿌게 보이진 않아서 수술까지 생각 중인데 치과에선 교정 다시 하면 가능하다고 해가지고ㅠㅠㅠㅠㅠ,5월 4일,,
9,치아교정 고무줄 하루 안끼웠다고 이빨 이동하나봐 겁나 아프네..,5월 4일,,
10,응시원서 챙기 열관리 토토슷테 무료치아교정 남자벤시몽 베렌다선반 방충망가네고 구급함제작 작은공 코연골 정곡초 귀엽지 백사꿈 중고매입가 판클립 분진포집 하이드텍,5월 4일,,
11,빨리 치아교정 하고싶다,5월 4일,,1
12,"아오 치아교정하고 싶어
(엄청 심한건 아니지만)",5월 3일,,
13,"모두의 익명 질문을 모집 중!

최근 답변한 질문
● 잘지내구 있어~? 나중에 언…
● 우리 언제 뭉칠 수 잇는고야…
● 와우 오늘부터 저의 슈스데 …
● 데이데이님 저번에 치아교정 …
#질문상자 #익명질문모집중",5월 3일,,
14,녹색안전모 인터넷택시 비행기티켓값 일본콘스프 싸우고 쌍치저 신촌썰 군대치아교정 노래방책 충렬왕 말코이 용지도매 아버지위패 만덕떡집 소품정리함 코빗가입 초가파라솔 애어워셔,5월 3일,,
15,"@Kang890426_love
 님에게 보내는 답글",5월 3일,,1
16,치아 교정 휴유증 2스텍 쌓음,5월 3일,,
17,#치아교정 돌출입이 교정 발치때메 고민 많으셨죠 발치 없이 돌출량을 최대 14mm 까지 개선 가능합니다 원장님의 1:1맞춤 케어시스템 무료상담 https://goo.gl/UQWLmL,5월 3일,,
18,#치아교정 돌출입 고르지않은 치아 교정 발치때메 고민 많으셨죠 발치 없이 돌출량을 최대 14mm 까지 개선 가능합니다 원장님의 1:1맞춤 케어시스템 무료상담 https://goo.gl/UQWLmL,5월 3일,,
19,치아교정알아보러갑니다,5월 3일,,4
20,,5월 4일,,
21,응시원서 챙기 열관리 토토슷테 무료치아교정 남자벤시몽 베렌다선반 방충망가네고 구급함제작 작은공 코연골 정곡초 귀엽지 백사꿈 중고매입가 판클립 분진포집 하이드텍,5월 4일,,
22,빨리 치아교정 하고싶다,5월 4일,,1
23,"아오 치아교정하고 싶어
(엄청 심한건 아니지만)",5월 3일,,
24,"모두의 익명 질문을 모집 중!

최근 답변한 질문
● 잘지내구 있어~? 나중에 언…
● 우리 언제 뭉칠 수 잇는고야…
● 와우 오늘부터 저의 슈스데 …
● 데이데이님 저번에 치아교정 …
#질문상자 #익명질문모집중",5월 3일,,
25,"연예인 치아교정비용은 필요경비 불산입이래
그럿군아",5월 2일,,2
26,탐라에 치아교정 한 사람이랑 눈썹문신 한 사람이랑 있어,5월 2일,,
27,"근데 최악인건 내 본명에 ㅅ이 들어간다는거고. 항상 ㅅ발음을 할때마다 ㅎ소리가 나서 남한테 이름 이야기하는것도 굉장히 힘들게했어. ㅠ 예를들어 내 본명이 세연이면 헤연<<으로 들으니까..

뭐 지금은 치아교정 후에 발음이 새는일도 없어졌지만 아직도 너덜별",5월 2일,,
28,"투머치타임

지금은 치아교정하고 괜찮아졌는데 윗니랑 아랫니 사이가 벌어져서 어느정도의 틈이 있었고 그덕분에 ㅅ발음이 많이 어설펐는데. 내가 치아교정을 한건 20대에 들어간후고 (으쓱..) 그 전까지는 ㅅ발음이 굉장히 서툰채 살았거든",5월 2일,,1
29,"근데 치아교정 해보니까
사람들이 다른 사람한테 치아교정 추천 안하는 이유 알겠음
너~무 아픔
근데 치열 너~무 예뻐짐",5월 2일,,2
30,여름휴가에 치아교정이나 해볼까,5월 2일,,7
31,치아교정 망한 듯. 치아 사이 치간에 블랙 트라이엥글 생겼음. 그래서 물어봤더니 의사가 뭐 어쩔 수 없죠 이러고 마는데 사전에 그럴 수도 있다고 말 해주지 않았고 제대로 된 설명도 없었기에...병원을 옮겨야하나...어디다 물어보나 대가리가 빠개질 거 같다. 이미 내 앞니는 구멍이 숭숭 났는데;,5월 2일,,5
32,"예전 아들 치아교정하며 알게 된 것이.. 치과 가면 의사가 다 알아서 해준다고 생각했는데, 이분 말씀대로 임플란트나 치료 전문의가 따로 있고, 교정 전문의가 또 따로 있다는거. 한 치과에서도 두세명의 의사가 각자의 전공에 따라 하는 일이 다르고.. 엥간하면 자연치아 살리는게 가장 중요하다고..",5월 2일,,2
33,"리) 어렸을 때 학원도 못다니고, 어울리던 친구들 나 빼고 다 치아교정 할 때 모친은 되게 열심히 장학헌금, 감사헌금 내셨더라고. 뭐 본인 돈이니까... 그런데 주변 평균의 뒷바라지를 못하면 기대치도 평균이하여야 하는데 그건 곧 죽어도 안 하는 양반들이어서 그게 아직도 치가 떨리지.",5월 2일,,2
34,"@ne11ung223
 님에게 보내는 답글",5월 2일,,1
35,트친분들 중에 치아교정 하시는 분들 계시나요,5월 2일,,
36,"유학 전까지 할일
화장법 마스터하기
치아 교정하기
헤어라인 교정하기
미백크림 꾸준히 바르기
유지덥 찍기
귀뚫기
하이힐 적응하기
드레스 입기",5월 2일,,4
37,"탐라에 치아교정 하신 샘 계신가요
샤워하다가 갑자기 하고싶어졌어요
ㅋㅋㅋㅋㅋㅋㅋㅋ",5월 1일,,4
38,"#백현아오늘은
오늘 이빨을 두 개 뽑았는데, 지금 음식을 먹기가 좀 불편하네요…치아 교정을 위해 아쉽지만 네 개를 뽑아야 합니다",5월 1일,,
39,"@yusung_mayo
 님에게 보내는 답글",5월 1일,,
40,,5월 2일,,
41,치아교정 망한 듯. 치아 사이 치간에 블랙 트라이엥글 생겼음. 그래서 물어봤더니 의사가 뭐 어쩔 수 없죠 이러고 마는데 사전에 그럴 수도 있다고 말 해주지 않았고 제대로 된 설명도 없었기에...병원을 옮겨야하나...어디다 물어보나 대가리가 빠개질 거 같다. 이미 내 앞니는 구멍이 숭숭 났는데;,5월 2일,,5
42,"예전 아들 치아교정하며 알게 된 것이.. 치과 가면 의사가 다 알아서 해준다고 생각했는데, 이분 말씀대로 임플란트나 치료 전문의가 따로 있고, 교정 전문의가 또 따로 있다는거. 한 치과에서도 두세명의 의사가 각자의 전공에 따라 하는 일이 다르고.. 엥간하면 자연치아 살리는게 가장 중요하다고..",5월 2일,,2
43,"리) 어렸을 때 학원도 못다니고, 어울리던 친구들 나 빼고 다 치아교정 할 때 모친은 되게 열심히 장학헌금, 감사헌금 내셨더라고. 뭐 본인 돈이니까... 그런데 주변 평균의 뒷바라지를 못하면 기대치도 평균이하여야 하는데 그건 곧 죽어도 안 하는 양반들이어서 그게 아직도 치가 떨리지.",5월 2일,,2
44,"@ne11ung223
 님에게 보내는 답글",5월 2일,,1
45,"@sesang_jm
 님에게 보내는 답글",5월 1일,,
46,"@fire__eeeee
 님에게 보내는 답글",4월 30일,,
47,"@chess_onc
 님에게 보내는 답글",4월 30일,,1
48,"안녕하세요. 선생님들
저는 그럭저럭 지내고 있습니다.
지난 달 확진 이후에 후유증이
늘 함께하고 있구요..
덕분에 한•중 덕질 모두 쉬고 있습니다. 
이번 주 목요일에 치아교정을 시작했구요. 
너무 아파서 정신을 못 차리겠어요ㅠ
거두절미하고,
5월에도 잘 부탁드립니다:)",4월 30일,,
