,본문,날짜,리트윗,하트
0,[ #Tistory ]분당치아미백_서울플러스에서~ http://seoulplus.tistory.com/1498,2017년 1월 9일,1,
1,"상추를 전자레인지에 넣어 바삭바삭하게 태우고, 그 가루를 치약에 조금씩 뿌려 양치질을 하면 치아 미백이 된답니다~",2017년 1월 8일,,
2,치과에서 알려주지 않는 천연 치아미백 식품   https://goo.gl/NZSw9d,2017년 1월 5일,1,
3,치과에서 알려주지 않는 천연 치아미백 식품 6가지 http://ab33.tistory.com/1019,2017년 1월 5일,1,1
4,치과에서 알려주지 않는 천연 치아미백 식품 6가지 http://ab33.tistory.com/1019,2017년 1월 5일,,
5,"상추를 전자레인지에 넣어 바삭바삭하게 태우고, 그 가루를 치약에 조금씩 뿌려 양치질을 하면 치아 미백이 된답니다~",2017년 1월 5일,,
6,아 맞다 치킨 먹고 싶다. 하지만 난 내일 사랑니를 뽑거나 치아미백을 해야하지 언제 먹냐,2017년 1월 5일,,
7,셀프치아미백 후기 라포랩 화이트줌 치아미백제 http://blog.naver.com/hanmail78/220903012357…,2017년 1월 5일,,
8,아참 나 치아미백제 샀다. 솔(?)로 바르고 그 위에 스티커 붙이는 걸로. 일주일후에 결과 보고하겠읍니다.,2017년 1월 5일,,
9,"상추를 전자레인지에 넣어 바삭바삭하게 태우고, 그 가루를 치약에 조금씩 뿌려 양치질을 하면 치아 미백이 된답니다~",2017년 1월 4일,,
10,"Me gustó un video de 
@YouTube
 de 
@ssinnim
 http://youtu.be/yQARuz1JhNM?a 이상한 치아미백제를 테스트해 보았다 Teeth whitening",2017년 1월 4일,,
11,"미백 치약.. 효과 없데요..
치아 미백 방법 
http://hubnews.co.kr/m/18/view.php?hacp=content/html/2016/12/29/20161229003111.html&OutUrl=hns&hnsc=5&hnsmc=18&hnsnd=20161229003111.18…",2017년 1월 3일,,1
12,치아미백에 좋은음식 6가지 (출처 : 라이나생명 | 네이버 포스트) http://naver.me/FMmOTXR5,2017년 1월 2일,,
13,"상추를 전자레인지에 넣어 바삭바삭하게 태우고, 그 가루를 치약에 조금씩 뿌려 양치질을 하면 치아 미백이 된답니다~",2017년 1월 2일,,
14,"상추를 전자레인지에 넣어 바삭바삭하게 태우고, 그 가루를 치약에 조금씩 뿌려 양치질을 하면 치아 미백이 된답니다~",2017년 1월 1일,,
15,"치아 미백햇나,,,,, 교정도햇나,,,,,, 왝케 고른거야,,,,?",2017년 1월 1일,,
16,"치아...미백 

....",2017년 1월 1일,,
17,"상추를 전자레인지에 넣어 바삭바삭하게 태우고, 그 가루를 치약에 조금씩 뿌려 양치질을 하면 치아 미백이 된답니다~",2016년 12월 31일,,
18,새우치킨 먹고 싶은데 적당한 시간이 없네 다음주 사랑니 빼야하고 치아미백도 해야해,2016년 12월 31일,,
19,"인스타에 유난히 미용 관련 광고(성형관련 각종수술&시술, 화장품, 탈모치료, 모발이식, 치아미백, 치열교정 등등)가 많은거 방금에야 문득 느끼고 너무 너무구나 생각함",2016년 12월 30일,,2
20,치과에서 알려주지 않는 천연 치아미백 식품 6가지 http://ab33.tistory.com/1019,2017년 1월 5일,1,1
21,치과에서 알려주지 않는 천연 치아미백 식품 6가지 http://ab33.tistory.com/1019,2017년 1월 5일,,
22,"상추를 전자레인지에 넣어 바삭바삭하게 태우고, 그 가루를 치약에 조금씩 뿌려 양치질을 하면 치아 미백이 된답니다~",2017년 1월 5일,,
23,치아미백(dental bleaching)은 전문가미백(office bleaching)과 자가미백(home bleaching)으로 분류됩니다. 효과는 전문가미백이 시간 대비 우수하지만 병원에서 해야하므로 치료비가 더 드는 단점이 있습니다.,2016년 12월 24일,,
24,"상추를 전자레인지에 넣어 바삭바삭하게 태우고, 그 가루를 치약에 조금씩 뿌려 양치질을 하면 치아 미백이 된답니다~",2016년 12월 22일,,
25,"치아미백 계획이 있다면, 치료할 치아를 치아 색깔 나는 재료로 때우거나 씌우기 전에 치아미백을 미리 진행하는 것이 좋습니다. 치아미백 후 밝아진 색상에 맞추어 재료를 같은 색상으로 제작해야 더욱 자연스럽기 때문이지요.",2016년 12월 20일,,
26,"I liked a 
@YouTube
 video from 
@ssinnim
 http://ln.is/www.youtube.com/LN32t… 이상한 치아미백제를 테스트해 보았다 Teeth whitening",2016년 12월 20일,,
27,"이상한 치아미백제를 테스트해 보았다 Teeth whitening powder rivew l SSIN: http://youtu.be/yQARuz1JhNM?a (
@YouTube
)",2016년 12월 19일,,4
28,치아미백기,2016년 12월 19일,,
29,"상추를 전자레인지에 넣어 바삭바삭하게 태우고, 그 가루를 치약에 조금씩 뿌려 양치질을 하면 치아 미백이 된답니다~",2016년 12월 18일,,
30,치아미백하고싶다..,2016년 12월 18일,,
31,"@mercedess456
 님에게 보내는 답글",2016년 12월 17일,,
32,다른사람들 메쿠랑 피부관리에 집중하는데 벨코스할땐 저런거 신경안써도 되는 대신 치아미백하는데 돈과 시간을 투자해야겠군,2016년 12월 17일,,1
33,"상추를 전자레인지에 넣어 바삭바삭하게 태우고, 그 가루를 치약에 조금씩 뿌려 양치질을 하면 치아 미백이 된답니다~",2016년 12월 17일,,
34,"@de_stro
 님에게 보내는 답글",2016년 12월 16일,,
35,"오규님이랑 얘기하다가 나온 건데 잘 씻지도 않으면서 치아 미백에는 겁나게 신경 쓰는 샌즈랑 G샌즈...
오규님: 뼈다귀들에게 건치란 미의 기준 아닐까요?
아녜스: 임플란트는 스켈레톤의 수치",2016년 12월 16일,1,4
36,"상추를 전자레인지에 넣어 바삭바삭하게 태우고, 그 가루를 치약에 조금씩 뿌려 양치질을 하면 치아 미백이 된답니다~",2016년 12월 16일,,
