,본문,날짜,리트윗,하트
0,"드라이소켓이 머냐면
잇몸이 치유되는 과정에서 형성되는 혈전(피떡)이 떨어져서 잇몸 뼈가 드러나며 생기는 건조성 치주염이랍니다~~~~ 잇몸은 그냥 피부랑 달라서 피떡이나 딱지가 잘 안생겨용~.~",2시간,,
1,"치경부마모증(cervical abrasion)이란 치아의 목에 해당하는 부분이 마모되어 파이는 것을 말합니다. 원인은 치주염(풍치)과 잘못된 잇솔질방법, 교합의 이상(불안정하게 치아가 물리는 것) 등이며, 다양한 재료나 보호제로 메꿔주어 치료합니다.",5월 1일,,
2,치위생사신 어머니가 강조하십니다. 타르는 잇몸건강에 적이랩니다. 치주염에도 직빵이라네요. ##QuitSmoking,5월 1일,,
3,치위생사신 어머니가 강조하십니다. 타르는 잇몸건강에 적이랩니다. 치주염에도 직빵이라네요. ##QuitSmoking,4월 30일,,
4,"@doogledoc
 님에게 보내는 답글",5월 3일,,
5,아니 나 아까 회사에서 이빨닦는데 존나 피가 나는거... 치주염은 너무 직장인같지 않음??너무 과해 그리고 치주염걸리기엔 내가 너무 어리지 않냐고,5월 3일,,
6,"사월의 숲 노니 치약을 소개합니다

치은염,치주염예방,치태제거
충지예방, 구취제거
미백효과

화학적 계면활성제 無 

https://smartstore.naver.com/forest_4/products/6083403394…

#치약 #노니 #유기농 #판매 #사월의숲 #청결 #입안상쾌 #청결 #판매",5월 2일,,
7,"치경부마모증(cervical abrasion)이란 치아의 목에 해당하는 부분이 마모되어 파이는 것을 말합니다. 원인은 치주염(풍치)과 잘못된 잇솔질방법, 교합의 이상(불안정하게 치아가 물리는 것) 등이며, 다양한 재료나 보호제로 메꿔주어 치료합니다.",5월 1일,,
8,치위생사신 어머니가 강조하십니다. 타르는 잇몸건강에 적이랩니다. 치주염에도 직빵이라네요. ##QuitSmoking,5월 1일,,
9,치위생사신 어머니가 강조하십니다. 타르는 잇몸건강에 적이랩니다. 치주염에도 직빵이라네요. ##QuitSmoking,4월 30일,,
10,얘가 3년동안 산에서 살앗던걸 감안해서 스케일링을 더 일찍 해줫어야햇는데…치석이 엄청 많아서 치주염이 왓나봄….ㅠ 건드리는걸 진짜~~~~로 싫어해서 잇몸확인을 제대로 못해줬더니 이렇게됐네…,4월 30일,,3
11,너 치주염이나 임플란트나 충치 치료 경험 있니?,4월 30일,,
12,"퇴사를 했는데 오래는 치주염,엄마는
유방암 항암시작 이시기에 여행을
가도되나 싶은데 또 이시기아님
또 기약없이 무작정 강행을 했는데
나 영어회화 아예안되서
원래 언어안통하는 나라가면
국제 미아안될려고 공항에서 숙소
가는길부터 한달전부터 공부하는데
내일당장 런던출발인데",4월 29일,,
13,치위생사신 어머니가 강조하십니다. 타르는 잇몸건강에 적이랩니다. 치주염에도 직빵이라네요. ##QuitSmoking,4월 29일,,
14,"@danha_maru
 님에게 보내는 답글",4월 28일,,1
15,"@1005_0805_
 님에게 보내는 답글",4월 28일,,
